institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source,completion_options,required_course_sets,required_course_set_count,prerequisite_groups
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,Required Core,common_core,12,10,ENGL 1010,English Composition I,3,,,,https://www.brooklyn.edu/academics/programs/computer-science-bs/,,,,
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,Required Core,common_core,12,10,ENGL 1012,English Composition II,3,ENGL 1010,,,https://www.brooklyn.edu/academics/programs/computer-science-bs/,,,,
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,Required Core,common_core,12,10,MATH 1011,Precalculus Mathematics,3,,MATH 1012,,https://www.brooklyn.edu/academics/programs/computer-science-bs/,,,,
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,Required Core,common_core,12,10,MATH 1012,Precalculus with Recitation,3,,MATH 1011,,https://www.brooklyn.edu/academics/programs/computer-science-bs/,,,,
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,Required Core,common_core,12,10,BC-CS-LPS,Life and Physical Sciences,3,,,BC_RC_LPS,https://www.brooklyn.edu/academics/programs/computer-science-bs/,,,,
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,Mathematics Placement Preparation,program_elective,0,11,MATH 1006,College Algebra for Precalculus,3,,,,https://www.brooklyn.edu/academics/programs/computer-science-bs/,,,,
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,Flexible Core,flexible_core,18,20,BC-CS-US,U.S. Experience in Its Diversity,3,,,BC_FC_US,https://www.brooklyn.edu/academics/programs/computer-science-bs/,,,,
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,Flexible Core,flexible_core,18,20,BC-CS-WORLD,World Cultures and Global Issues,3,,,BC_FC_WORLD,https://www.brooklyn.edu/academics/programs/computer-science-bs/,,,,
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,Flexible Core,flexible_core,18,20,BC-CS-IND,Individual and Society,3,,,BC_FC_INDIVIDUAL,https://www.brooklyn.edu/academics/programs/computer-science-bs/,,,,
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,Flexible Core,flexible_core,18,20,BC-CS-SCI,Scientific World,3,,,BC_FC_SCIENTIFIC,https://www.brooklyn.edu/academics/programs/computer-science-bs/,,,,
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,Flexible Core,flexible_core,18,20,BC-CS-CREATIVE-1,Creative Expression I,3,,,BC_FC_CREATIVE,https://www.brooklyn.edu/academics/programs/computer-science-bs/,,,,
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,Flexible Core,flexible_core,18,20,BC-CS-CREATIVE-2,Creative Expression II,3,,,BC_FC_CREATIVE,https://www.brooklyn.edu/academics/programs/computer-science-bs/,,,,
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,College Option,common_core,12,25,BC-CS-COLLEGE-OPTION,Brooklyn College Option (four courses),12,,,BC_CS_COLLEGE_OPTION,https://www.brooklyn.edu/academics/programs/computer-science-bs/,,,,
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,Programming Foundation,program_required,4,30,CISC 1115,Introduction to Programming Using Java,4,,CISC 1170,,https://www.brooklyn.edu/academics/programs/computer-science-bs/,CISC 1115||CISC 1170,,,
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,Programming Foundation,program_required,4,30,CISC 1170,Java for Programmers,4,,CISC 1115,,https://www.brooklyn.edu/academics/programs/computer-science-bs/,CISC 1115||CISC 1170,,,
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,Major Requirements,program_required,20,31,CISC 2210,Introduction to Discrete Structures,3,,,,https://www.brooklyn.edu/academics/programs/computer-science-bs/,,,,
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,Major Requirements,program_required,20,31,CISC 3115,Introduction to Modern Programming Techniques,4,CISC 1115 or CISC 1170,,,https://www.brooklyn.edu/academics/programs/computer-science-bs/,,,,
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,Major Requirements,program_required,20,31,CISC 3130,Data Structures,4,CISC 3115,,,https://www.brooklyn.edu/academics/programs/computer-science-bs/,,,,
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,Major Requirements,program_required,20,31,CISC 3140,Design and Implementation of Large-Scale Web Applications,3,CISC 3115,,,https://www.brooklyn.edu/academics/programs/computer-science-bs/,,,,
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,Major Requirements,program_required,20,31,CISC 3320,Operating Systems,3,CISC 3130,,,https://www.brooklyn.edu/academics/programs/computer-science-bs/,,,,
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,Major Requirements,program_required,20,31,CISC 3142,Programming Paradigms in C++,3,CISC 3115,,,https://www.brooklyn.edu/academics/programs/computer-science-bs/,,,,
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,Architecture Alternative,program_required,3,32,CISC 3305,Computer Organization,3,,CISC 3310,,https://www.brooklyn.edu/academics/programs/computer-science-bs/,CISC 3305||CISC 3310,,,
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,Architecture Alternative,program_required,3,32,CISC 3310,Principles of Computer Architecture,3,,CISC 3305,,https://www.brooklyn.edu/academics/programs/computer-science-bs/,CISC 3305||CISC 3310,,,
BROOKLYN,Computer and Information Science,CISC,BC_CS_BS,Computer Science,BS,2026-2027,Theory Alternative,program_required,3,33,CISC 3220,Analysis of Algorithms,3,CISC 3130,CISC 3230,,https://www.brooklyn.edu/academics/programs/computer-science-bs/,CISC 3220||CISC 3230,,,
