institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
BMCC,Science,SCI,BTE_AS,Biotechnology Science,AS,2026-2027,Degree Map Requirements,program_required,48,10,MAT 206,Precalculus,4,,,,https://www.bmcc.cuny.edu/academics/departments/science/biotechnology-science/
BMCC,Science,SCI,BTE_AS,Biotechnology Science,AS,2026-2027,Degree Map Requirements,program_required,48,10,BIO 210,Biology I,4,,,,https://www.bmcc.cuny.edu/academics/departments/science/biotechnology-science/
BMCC,Science,SCI,BTE_AS,Biotechnology Science,AS,2026-2027,Degree Map Requirements,program_required,48,10,CHE 201,College Chemistry I,4,,,,https://www.bmcc.cuny.edu/academics/departments/science/biotechnology-science/
BMCC,Science,SCI,BTE_AS,Biotechnology Science,AS,2026-2027,Degree Map Requirements,program_required,48,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/science/biotechnology-science/
BMCC,Science,SCI,BTE_AS,Biotechnology Science,AS,2026-2027,Degree Map Requirements,program_required,48,10,SPE 100,Fundamentals of Public Speaking,3,,SPE 102,,https://www.bmcc.cuny.edu/academics/departments/science/biotechnology-science/
BMCC,Science,SCI,BTE_AS,Biotechnology Science,AS,2026-2027,Degree Map Requirements,program_required,48,10,BIO 220,Biology II,4,BIO 210,,,https://www.bmcc.cuny.edu/academics/departments/science/biotechnology-science/
BMCC,Science,SCI,BTE_AS,Biotechnology Science,AS,2026-2027,Degree Map Requirements,program_required,48,10,CHE 202,College Chemistry II,4,CHE 201,,,https://www.bmcc.cuny.edu/academics/departments/science/biotechnology-science/
BMCC,Science,SCI,BTE_AS,Biotechnology Science,AS,2026-2027,Degree Map Requirements,program_required,48,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/science/biotechnology-science/
BMCC,Science,SCI,BTE_AS,Biotechnology Science,AS,2026-2027,Degree Map Requirements,program_required,48,10,BTE 201,Introduction to Biotechnology,5,BIO 220|CHE 202,,,https://www.bmcc.cuny.edu/academics/departments/science/biotechnology-science/
BMCC,Science,SCI,BTE_AS,Biotechnology Science,AS,2026-2027,Degree Map Requirements,program_required,48,10,CHE 230,Organic Chemistry I,5,CHE 202,,,https://www.bmcc.cuny.edu/academics/departments/science/biotechnology-science/
BMCC,Science,SCI,BTE_AS,Biotechnology Science,AS,2026-2027,Degree Map Requirements,program_required,48,10,BIO 240,Genetics,4,BIO 220,,,https://www.bmcc.cuny.edu/academics/departments/science/biotechnology-science/
BMCC,Science,SCI,BTE_AS,Biotechnology Science,AS,2026-2027,Degree Map Requirements,program_required,48,10,CHE 240,Organic Chemistry II,5,CHE 230,,,https://www.bmcc.cuny.edu/academics/departments/science/biotechnology-science/
BMCC,Science,SCI,BTE_AS,Biotechnology Science,AS,2026-2027,General and Pathways Electives,program_elective,12,20,BTE-AS-GENERAL,General and Pathways Electives,12,,,,https://www.bmcc.cuny.edu/academics/departments/science/biotechnology-science/
