institution_code,program_code,onet_soc_code,occupation_title,display_order,source
BMCC,CS,11-3021.00,Computer and Information Systems Managers,10,https://www.onetonline.org/link/summary/11-3021.00
BMCC,CS,15-1211.00,Computer Systems Analysts,20,https://www.onetonline.org/link/summary/15-1211.00
BMCC,CS,15-1212.00,Information Security Analysts,30,https://www.onetonline.org/link/summary/15-1212.00
BMCC,CS,15-1251.00,Computer Programmers,40,https://www.onetonline.org/link/summary/15-1251.00
BMCC,CS,15-1252.00,Software Developers,50,https://www.onetonline.org/link/summary/15-1252.00
BMCC,CS,15-1253.00,Software Quality Assurance Analysts and Testers,60,https://www.onetonline.org/link/summary/15-1253.00
BMCC,CS,15-1254.00,Web Developers,70,https://www.onetonline.org/link/summary/15-1254.00
BMCC,CS,15-1242.00,Database Administrators,80,https://www.onetonline.org/link/summary/15-1242.00
BMCC,CS,15-1244.00,Network and Computer Systems Administrators,90,https://www.onetonline.org/link/summary/15-1244.00
BMCC,CS,15-1241.00,Computer Network Architects,100,https://www.onetonline.org/link/summary/15-1241.00
BMCC,CS,15-1232.00,Computer User Support Specialists,110,https://www.onetonline.org/link/summary/15-1232.00
BMCC,CS,15-1231.00,Computer Network Support Specialists,120,https://www.onetonline.org/link/summary/15-1231.00
BMCC,CS,15-1255.00,Web and Digital Interface Designers,130,https://www.onetonline.org/link/summary/15-1255.00
BMCC,CS,15-1299.08,Computer Systems Engineers/Architects,140,https://www.onetonline.org/link/summary/15-1299.08
BMCC,CS,15-1299.01,Web Administrators,150,https://www.onetonline.org/link/summary/15-1299.01
BMCC,CS,15-1243.01,Data Warehousing Specialists,160,https://www.onetonline.org/link/summary/15-1243.01
BMCC,ACCT_AAS,13-2011.00,Accountants and Auditors,10,https://www.onetonline.org/link/summary/13-2011.00
BMCC,ACCT_AAS,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",20,https://www.onetonline.org/link/summary/43-3031.00
BMCC,ACCT_AAS,13-2082.00,Tax Preparers,30,https://www.onetonline.org/link/summary/13-2082.00
BMCC,ACCT_AAS,43-3051.00,Payroll and Timekeeping Clerks,40,https://www.onetonline.org/link/summary/43-3051.00
BMCC,ACCT_AAS,43-3021.00,Billing and Posting Clerks,50,https://www.onetonline.org/link/summary/43-3021.00
BMCC,ACCT_AAS,13-2041.00,Credit Analysts,60,https://www.onetonline.org/link/summary/13-2041.00
BMCC,ACCT_AAS,13-2031.00,Budget Analysts,70,https://www.onetonline.org/link/summary/13-2031.00
BMCC,ACCT_AAS,43-3011.00,Bill and Account Collectors,80,https://www.onetonline.org/link/summary/43-3011.00
BMCC,ACCT_AAS,13-2072.00,Loan Officers,90,https://www.onetonline.org/link/summary/13-2072.00
BMCC,AMG_AS,27-1014.00,Special Effects Artists and Animators,10,https://www.onetonline.org/link/summary/27-1014.00
BMCC,AMG_AS,27-1024.00,Graphic Designers,20,https://www.onetonline.org/link/summary/27-1024.00
BMCC,AMG_AS,27-4032.00,Film and Video Editors,30,https://www.onetonline.org/link/summary/27-4032.00
BMCC,AMG_AS,27-1011.00,Art Directors,40,https://www.onetonline.org/link/summary/27-1011.00
BMCC,AMG_AS,27-2012.00,Producers and Directors,50,https://www.onetonline.org/link/summary/27-2012.00
BMCC,AMG_AS,27-4031.00,"Camera Operators, Television, Video, and Film",60,https://www.onetonline.org/link/summary/27-4031.00
BMCC,AMG_AS,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",70,https://www.onetonline.org/link/summary/27-1013.00
BMCC,AMG_AS,27-1027.00,Set and Exhibit Designers,80,https://www.onetonline.org/link/summary/27-1027.00
BMCC,AMG_AS,15-1255.00,Web and Digital Interface Designers,90,https://www.onetonline.org/link/summary/15-1255.00
BMCC,BBA_AS,11-1021.00,General and Operations Managers,10,https://www.onetonline.org/link/summary/11-1021.00
BMCC,BBA_AS,11-2022.00,Sales Managers,20,https://www.onetonline.org/link/summary/11-2022.00
BMCC,BBA_AS,11-2021.00,Marketing Managers,30,https://www.onetonline.org/link/summary/11-2021.00
BMCC,BBA_AS,13-1071.00,Human Resources Specialists,40,https://www.onetonline.org/link/summary/13-1071.00
BMCC,BBA_AS,13-1111.00,Management Analysts,50,https://www.onetonline.org/link/summary/13-1111.00
BMCC,BBA_AS,11-3031.00,Financial Managers,60,https://www.onetonline.org/link/summary/11-3031.00
BMCC,BBA_AS,11-3012.00,Administrative Services Managers,70,https://www.onetonline.org/link/summary/11-3012.00
BMCC,BBA_AS,13-1151.00,Training and Development Specialists,80,https://www.onetonline.org/link/summary/13-1151.00
BMCC,BBA_AS,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",90,https://www.onetonline.org/link/summary/13-1141.00
BMCC,BBA_AS,13-1023.00,Purchasing Agents,100,https://www.onetonline.org/link/summary/13-1023.00
BROOKLYN,BC_CS_BS,15-1252.00,Software Developers,10,https://www.onetonline.org/link/summary/15-1252.00
BROOKLYN,BC_CS_BS,15-1221.00,Computer and Information Research Scientists,20,https://www.onetonline.org/link/summary/15-1221.00
BROOKLYN,BC_CS_BS,15-1211.00,Computer Systems Analysts,30,https://www.onetonline.org/link/summary/15-1211.00
BROOKLYN,BC_CS_BS,15-1212.00,Information Security Analysts,40,https://www.onetonline.org/link/summary/15-1212.00
BROOKLYN,BC_CS_BS,15-1242.00,Database Administrators,50,https://www.onetonline.org/link/summary/15-1242.00
BROOKLYN,BC_CS_BS,15-1241.00,Computer Network Architects,60,https://www.onetonline.org/link/summary/15-1241.00
BROOKLYN,BC_CS_BS,15-2051.00,Data Scientists,70,https://www.onetonline.org/link/summary/15-2051.00
BROOKLYN,BC_CS_BS,15-1254.00,Web Developers,80,https://www.onetonline.org/link/summary/15-1254.00
BROOKLYN,BC_CS_BS,15-1251.00,Computer Programmers,90,https://www.onetonline.org/link/summary/15-1251.00
BROOKLYN,BC_CS_BS,15-1253.00,Software Quality Assurance Analysts and Testers,100,https://www.onetonline.org/link/summary/15-1253.00
BMCC,BTE_AS,19-4021.00,Biological Technicians,10,https://www.onetonline.org/link/summary/19-4021.00
BMCC,BTE_AS,19-4031.00,Chemical Technicians,20,https://www.onetonline.org/link/summary/19-4031.00
BMCC,BTE_AS,29-2012.00,Medical and Clinical Laboratory Technicians,30,https://www.onetonline.org/link/summary/29-2012.00
BMCC,BTE_AS,29-2011.00,Medical and Clinical Laboratory Technologists,40,https://www.onetonline.org/link/summary/29-2011.00
BMCC,BTE_AS,19-4013.00,Food Science Technicians,50,https://www.onetonline.org/link/summary/19-4013.00
BMCC,BTE_AS,19-4092.00,Forensic Science Technicians,60,https://www.onetonline.org/link/summary/19-4092.00
BMCC,BTE_AS,19-1021.00,Biochemists and Biophysicists,70,https://www.onetonline.org/link/summary/19-1021.00
BMCC,BTE_AS,19-1022.00,Microbiologists,80,https://www.onetonline.org/link/summary/19-1022.00
BMCC,BTE_AS,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",90,https://www.onetonline.org/link/summary/51-9061.00
CCNY,CCNY_CS_BS,15-1252.00,Software Developers,10,https://www.onetonline.org/link/summary/15-1252.00
CCNY,CCNY_CS_BS,15-1221.00,Computer and Information Research Scientists,20,https://www.onetonline.org/link/summary/15-1221.00
CCNY,CCNY_CS_BS,15-1211.00,Computer Systems Analysts,30,https://www.onetonline.org/link/summary/15-1211.00
CCNY,CCNY_CS_BS,15-1212.00,Information Security Analysts,40,https://www.onetonline.org/link/summary/15-1212.00
CCNY,CCNY_CS_BS,15-1242.00,Database Administrators,50,https://www.onetonline.org/link/summary/15-1242.00
CCNY,CCNY_CS_BS,15-1241.00,Computer Network Architects,60,https://www.onetonline.org/link/summary/15-1241.00
CCNY,CCNY_CS_BS,15-2051.00,Data Scientists,70,https://www.onetonline.org/link/summary/15-2051.00
CCNY,CCNY_CS_BS,15-1254.00,Web Developers,80,https://www.onetonline.org/link/summary/15-1254.00
CCNY,CCNY_CS_BS,15-1251.00,Computer Programmers,90,https://www.onetonline.org/link/summary/15-1251.00
CCNY,CCNY_CS_BS,17-2061.00,Computer Hardware Engineers,100,https://www.onetonline.org/link/summary/17-2061.00
BMCC,CIS,11-3021.00,Computer and Information Systems Managers,10,https://www.onetonline.org/link/summary/11-3021.00
BMCC,CIS,15-1211.00,Computer Systems Analysts,20,https://www.onetonline.org/link/summary/15-1211.00
BMCC,CIS,15-1212.00,Information Security Analysts,30,https://www.onetonline.org/link/summary/15-1212.00
BMCC,CIS,15-1242.00,Database Administrators,40,https://www.onetonline.org/link/summary/15-1242.00
BMCC,CIS,15-1244.00,Network and Computer Systems Administrators,50,https://www.onetonline.org/link/summary/15-1244.00
BMCC,CIS,15-1232.00,Computer User Support Specialists,60,https://www.onetonline.org/link/summary/15-1232.00
