institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Composition and Communication,common_core,9,10,ENGL 11000,Freshman Composition,3,,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Composition and Communication,common_core,9,10,SPEECH 11100,Foundations of Speech Communication,3,,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Composition and Communication,common_core,9,10,ENGL 21007,Writing for Engineering,3,ENGL 11000,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Liberal Arts Electives - CE/WCGI/IS/US,flexible_core,12,20,CCNY-LA-CE,Creative Expression Liberal Arts Elective,3,,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Liberal Arts Electives - CE/WCGI/IS/US,flexible_core,12,20,CCNY-LA-WCGI,World Cultures and Global Issues Liberal Arts Elective,3,,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Liberal Arts Electives - CE/WCGI/IS/US,flexible_core,12,20,CCNY-LA-IS,Individual and Society Liberal Arts Elective,3,,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Liberal Arts Electives - CE/WCGI/IS/US,flexible_core,12,20,CCNY-LA-US,U.S. Experience in Its Diversity Liberal Arts Elective,3,,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Mathematics Requirements,program_required,15,30,MATH 20100,Calculus I,4,,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Mathematics Requirements,program_required,15,30,MATH 21200,Calculus II,4,MATH 20100,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Mathematics Requirements,program_required,15,30,MATH 21300,Calculus III,4,MATH 21200,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Mathematics Requirements,program_required,15,30,MATH 34600,Elements of Linear Algebra,3,MATH 21200,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Science Electives - complete an approved 8-credit sequence plus 4 additional credits,program_required,12,31,BIO 10100,General Biology I,4,,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Science Electives - complete an approved 8-credit sequence plus 4 additional credits,program_required,12,31,BIO 10200,General Biology II,4,BIO 10100,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Science Electives - complete an approved 8-credit sequence plus 4 additional credits,program_required,12,31,CHEM 10301,General Chemistry I,4,,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Science Electives - complete an approved 8-credit sequence plus 4 additional credits,program_required,12,31,CHEM 10401,General Chemistry II,4,CHEM 10301,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Science Electives - complete an approved 8-credit sequence plus 4 additional credits,program_required,12,31,PHYS 20700,University Physics I,4,MATH 20100,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Science Electives - complete an approved 8-credit sequence plus 4 additional credits,program_required,12,31,PHYS 20800,University Physics II,4,PHYS 20700,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Computer Science Core,program_required,55,32,CSC 10300,Introduction to Computing for Majors,3,,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Computer Science Core,program_required,55,32,CSC 10400,Discrete Mathematical Structures,4,MATH 20100,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Computer Science Core,program_required,55,32,CSC 21100,Fundamentals of Computer Systems,3,CSC 10300,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Computer Science Core,program_required,55,32,CSC 21200,Data Structures,3,CSC 10300|CSC 10400,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Computer Science Core,program_required,55,32,CSC 21700,Probability and Statistics for Computer Science,3,CSC 10300|CSC 10400|MATH 20100,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Computer Science Core,program_required,55,32,CSC 22000,Algorithms,3,CSC 21200,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Computer Science Core,program_required,55,32,CSC 22100,Software Design Laboratory,3,CSC 21200|ENGL 21007,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Computer Science Core,program_required,55,32,CSC 11300,Programming Language,1,CSC 10300,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Computer Science Core,program_required,55,32,CSC 30400,Theoretical Computer Science,3,CSC 22000,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
CCNY,Computer Science,CSC,CCNY_CS_BS,Computer Science,BS,2022-2023,Computer Science Core,program_required,55,32,CSC 30100,Numerical Issues in Scientific Programming,3,CSC 21700|CSC 22000|MATH 21300|MATH 34600,,,CCNY Computer Science Curriculum Fall 2022-Spring 2023
