institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
BMCC,Computer Information Systems,CIS,CIS,Computer Information Systems,AAS,2025-2026,Required Common Core,common_core,14,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/cis/computer-information-systems-cis/
BMCC,Computer Information Systems,CIS,CIS,Computer Information Systems,AAS,2025-2026,Required Common Core,common_core,14,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/cis/computer-information-systems-cis/
BMCC,Computer Information Systems,CIS,CIS,Computer Information Systems,AAS,2025-2026,Required Common Core,common_core,14,10,CIS-MATH,Mathematical and Quantitative Reasoning - CIS,4,,,CIS_MATH_QUANT,https://www.bmcc.cuny.edu/academics/departments/cis/computer-information-systems-cis/
BMCC,Computer Information Systems,CIS,CIS,Computer Information Systems,AAS,2025-2026,Required Common Core,common_core,14,10,CIS-LPS,Life and Physical Sciences - CIS,4,,,CIS_LIFE_PHYSICAL,https://www.bmcc.cuny.edu/academics/departments/cis/computer-information-systems-cis/
BMCC,Computer Information Systems,CIS,CIS,Computer Information Systems,AAS,2025-2026,Flexible Core,flexible_core,10,20,CIS-OPEN-FLEX,Choose Creative Expression Individual and Society US Experience or World Cultures,3,,,FC_AAS_OPEN_AREA,https://www.bmcc.cuny.edu/academics/departments/cis/computer-information-systems-cis/
BMCC,Computer Information Systems,CIS,CIS,Computer Information Systems,AAS,2025-2026,Flexible Core,flexible_core,10,20,CSC 101,Principles in Information Technology and Computation,3,,,,https://www.bmcc.cuny.edu/academics/departments/cis/computer-information-systems-cis/
BMCC,Computer Information Systems,CIS,CIS,Computer Information Systems,AAS,2025-2026,Flexible Core,flexible_core,10,20,CSC 110,Computer Programming I,4,CSC 101,CSC 111,,https://www.bmcc.cuny.edu/academics/departments/cis/computer-information-systems-cis/
BMCC,Computer Information Systems,CIS,CIS,Computer Information Systems,AAS,2025-2026,Flexible Core,flexible_core,10,20,CSC 111,Introduction to Programming,4,CSC 101|MAT 206 or MAT 206.5 or MAT 301,CSC 110,,https://www.bmcc.cuny.edu/academics/departments/cis/computer-information-systems-cis/
BMCC,Computer Information Systems,CIS,CIS,Computer Information Systems,AAS,2025-2026,Curriculum Requirements,program_required,27,30,ACC 122,Accounting Principles I,3,,,,https://www.bmcc.cuny.edu/academics/departments/cis/computer-information-systems-cis/
BMCC,Computer Information Systems,CIS,CIS,Computer Information Systems,AAS,2025-2026,Curriculum Requirements,program_required,27,30,BUS 104,Introduction to Business,3,,,,https://www.bmcc.cuny.edu/academics/departments/cis/computer-information-systems-cis/
