institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
BMCC,"Speech, Communications and Theatre Arts",SCT,COM_AA,Communication Studies,AA,2025-2026,Required Common Core,common_core,12,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/speech/communication-studies/
BMCC,"Speech, Communications and Theatre Arts",SCT,COM_AA,Communication Studies,AA,2025-2026,Required Common Core,common_core,12,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/speech/communication-studies/
BMCC,"Speech, Communications and Theatre Arts",SCT,COM_AA,Communication Studies,AA,2025-2026,Required Common Core,common_core,12,10,MAT 161,Topics in Quantitative Reasoning,3,,,,https://www.bmcc.cuny.edu/academics/departments/math/course-listings/
BMCC,"Speech, Communications and Theatre Arts",SCT,COM_AA,Communication Studies,AA,2025-2026,Required Common Core,common_core,12,10,COM-AA-LPS,Life and Physical Sciences requirement,3,,,RC_LIFE_PHYSICAL,https://www.bmcc.cuny.edu/academics/departments/speech/communication-studies/
BMCC,"Speech, Communications and Theatre Arts",SCT,COM_AA,Communication Studies,AA,2025-2026,Flexible Core,flexible_core,6,20,SPE 100,Fundamentals of Public Speaking,3,,SPE 102,,https://www.bmcc.cuny.edu/academics/departments/speech/course-listings/
BMCC,"Speech, Communications and Theatre Arts",SCT,COM_AA,Communication Studies,AA,2025-2026,Flexible Core,flexible_core,6,20,SPE 102,Fundamentals of Public Speaking for Non-Native Speakers,3,,SPE 100,,https://www.bmcc.cuny.edu/academics/departments/speech/course-listings/
BMCC,"Speech, Communications and Theatre Arts",SCT,COM_AA,Communication Studies,AA,2025-2026,Flexible Core,flexible_core,6,20,COM-AA-SCIWORLD,Scientific World requirement,3,,,FC_SCIENTIFIC_WORLD,https://www.bmcc.cuny.edu/academics/departments/speech/communication-studies/
BMCC,"Speech, Communications and Theatre Arts",SCT,COM_AA,Communication Studies,AA,2025-2026,Program Requirements,program_required,24,30,COM 100,Introduction to Communication Studies,3,,,,https://www.bmcc.cuny.edu/academics/departments/speech/course-listings/
BMCC,"Speech, Communications and Theatre Arts",SCT,COM_AA,Communication Studies,AA,2025-2026,Program Requirements,program_required,24,30,COM 240,Interpersonal Communication,3,SPE 100,,,https://www.bmcc.cuny.edu/academics/departments/speech/course-listings/
BMCC,"Speech, Communications and Theatre Arts",SCT,COM_AA,Communication Studies,AA,2025-2026,Program Requirements,program_required,24,30,COM 245,The Mass Media,3,SPE 100,,,https://www.bmcc.cuny.edu/academics/departments/speech/course-listings/
BMCC,"Speech, Communications and Theatre Arts",SCT,COM_AA,Communication Studies,AA,2025-2026,Program Requirements,program_required,24,30,COM 255,Intercultural Communication,3,SPE 100 or SPE 102,,,https://www.bmcc.cuny.edu/academics/departments/speech/course-listings/
BMCC,"Speech, Communications and Theatre Arts",SCT,COM_AA,Communication Studies,AA,2025-2026,Program Requirements,program_required,24,30,THE 100,Introduction to Theatre,3,,MES 153|MUS 107|ART 106,,https://www.bmcc.cuny.edu/academics/departments/speech/course-listings/
BMCC,"Speech, Communications and Theatre Arts",SCT,COM_AA,Communication Studies,AA,2025-2026,Program Requirements,program_required,24,30,MES 153,Script Writing,3,,THE 100,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,"Speech, Communications and Theatre Arts",SCT,COM_AA,Communication Studies,AA,2025-2026,Program Requirements,program_required,24,30,MUS 107,Introduction to World Music,3,,THE 100,,https://www.bmcc.cuny.edu/academics/pathways/creative-expression/
BMCC,"Speech, Communications and Theatre Arts",SCT,COM_AA,Communication Studies,AA,2025-2026,Program Requirements,program_required,24,30,ART 106,Modern and Contemporary Art,3,,THE 100,,https://www.bmcc.cuny.edu/academics/pathways/creative-expression/
BMCC,"Speech, Communications and Theatre Arts",SCT,COM_AA,Communication Studies,AA,2025-2026,Program Requirements,program_required,24,30,MES 140,Introduction to the Moving Image,3,,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,"Speech, Communications and Theatre Arts",SCT,COM_AA,Communication Studies,AA,2025-2026,Program Requirements,program_required,24,30,MES 152,Introduction to Contemporary Media,3,,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,"Speech, Communications and Theatre Arts",SCT,COM_AA,Communication Studies,AA,2025-2026,Program Requirements,program_required,24,30,LIN 150,"Language, Race, and Ethnicity in the U.S. and Its Territories",3,,,,https://www.bmcc.cuny.edu/academics/departments/speech/communication-studies/
BMCC,"Speech, Communications and Theatre Arts",SCT,COM_AA,Communication Studies,AA,2025-2026,COM Advised Elective - Discipline Core,program_elective,9,40,COM-AA-ADVISED,Choose three SPE COM THE or GWS courses,9,,,COM_AA_ADVISED,https://www.bmcc.cuny.edu/academics/departments/speech/communication-studies/
BMCC,"Speech, Communications and Theatre Arts",SCT,COM_AA,Communication Studies,AA,2025-2026,COM Advised Elective - Additional Choice,program_elective,3,41,COM-AA-ADDITIONAL,Choose one additional approved advised elective,3,,,COM_AA_ADDITIONAL,https://www.bmcc.cuny.edu/academics/departments/speech/communication-studies/
BMCC,"Speech, Communications and Theatre Arts",SCT,COM_AA,Communication Studies,AA,2025-2026,COM Program Elective,program_elective,6,50,COM-AA-PROGRAM,COM Program Elective from any Communication course,6,,,COM_AA_PROGRAM,https://www.bmcc.cuny.edu/academics/departments/speech/communication-studies/
