slug,name,aliases,pathway_type,skill_slugs,source_title,source_url,reviewed_at,active
data-analyst,Data Analyst,"data analytics|business data analyst|data analysis",career,"analyzing-data|working-with-numbers|solving-technical-problems|communicating-ideas|researching-questions",BMCC Data Science program and career announcement,https://www.bmcc.cuny.edu/news/math-departments-new-data-science-program-prepares-graduates-for-high-demand-careers-in-science-business-and-more/,2026-08-21,true
computer-information-systems-manager,Computer and Information Systems Manager,"IT manager|information systems manager",career,"leading-teams|organizing-projects|solving-technical-problems|communicating-ideas|analyzing-data",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
computer-systems-analyst,Computer Systems Analyst,"systems analyst",career,"analyzing-data|solving-technical-problems|communicating-ideas|organizing-projects|researching-questions",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
information-security-analyst,Information Security Analyst,"cybersecurity analyst|security analyst",career,"analyzing-data|solving-technical-problems|researching-questions|communicating-ideas|organizing-projects",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
computer-programmer,Computer Programmer,"programmer|coder",career,"solving-technical-problems|analyzing-data|building-or-repairing-things|researching-questions|communicating-ideas",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
software-developer,Software Developer,"software engineer|app developer",career,"solving-technical-problems|building-or-repairing-things|analyzing-data|designing-experiences|communicating-ideas",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
software-quality-assurance-analyst,Software Quality Assurance Analyst and Tester,"QA analyst|software tester",career,"solving-technical-problems|analyzing-data|researching-questions|communicating-ideas|organizing-projects",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
web-developer,Web Developer,"website developer|front end developer|backend developer",career,"solving-technical-problems|designing-experiences|building-or-repairing-things|communicating-ideas|organizing-projects",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
database-administrator,Database Administrator,"database manager|DBA",career,"analyzing-data|solving-technical-problems|organizing-projects|researching-questions|communicating-ideas",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
network-systems-administrator,Network and Computer Systems Administrator,"network administrator|systems administrator",career,"solving-technical-problems|building-or-repairing-things|organizing-projects|communicating-ideas|analyzing-data",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
computer-network-architect,Computer Network Architect,"network architect",career,"solving-technical-problems|designing-experiences|organizing-projects|analyzing-data|communicating-ideas",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
computer-support-specialist,Computer Support Specialist,"computer user support specialist|computer network support specialist|IT support",career,"helping-people|solving-technical-problems|communicating-ideas|building-or-repairing-things|organizing-projects",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
web-digital-interface-designer,Web and Digital Interface Designer,"web designer|UI designer|digital interface designer",career,"designing-experiences|communicating-ideas|solving-technical-problems|organizing-projects|writing-and-storytelling",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
computer-systems-engineer,Computer Systems Engineer or Architect,"systems engineer|computer systems architect",career,"solving-technical-problems|designing-experiences|analyzing-data|organizing-projects|communicating-ideas",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
web-administrator,Web Administrator,"website administrator|web systems administrator",career,"solving-technical-problems|organizing-projects|designing-experiences|communicating-ideas|analyzing-data",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
gis-technologist,Geographic Information Systems Technologist and Technician,"GIS technician|GIS technologist",career,"analyzing-data|solving-technical-problems|researching-questions|designing-experiences|communicating-ideas",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
data-warehousing-specialist,Data Warehousing Specialist,"data warehouse specialist|data engineer",career,"analyzing-data|solving-technical-problems|organizing-projects|working-with-numbers|researching-questions",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
business-intelligence-analyst,Business Intelligence Analyst,"BI analyst|business analytics analyst",career,"analyzing-data|working-with-numbers|communicating-ideas|solving-technical-problems|researching-questions",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
it-project-manager,Information Technology Project Manager,"IT project manager|technology project manager",career,"organizing-projects|leading-teams|communicating-ideas|solving-technical-problems|analyzing-data",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
clinical-data-manager,Clinical Data Manager,"health data manager|clinical data analyst",career,"analyzing-data|organizing-projects|working-with-numbers|researching-questions|communicating-ideas",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
computer-hardware-engineer,Computer Hardware Engineer,"hardware engineer",career,"building-or-repairing-things|solving-technical-problems|analyzing-data|researching-questions|organizing-projects",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
credit-authorizer,Credit Authorizer or Checker,"credit checker|credit clerk",career,"analyzing-data|working-with-numbers|communicating-ideas|organizing-projects|researching-questions",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
computer-information-research-scientist,Computer and Information Research Scientist,"computer research scientist|computing researcher",career,"researching-questions|analyzing-data|solving-technical-problems|working-with-numbers|communicating-ideas",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
computer-science-teacher,Computer Science Teacher,"computing teacher|computer science professor",career,"communicating-ideas|helping-people|researching-questions|organizing-projects|solving-technical-problems",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
