slug,name,active
analyzing-data,Analyzing data,true
communicating-ideas,Communicating ideas,true
solving-technical-problems,Solving technical problems,true
helping-people,Helping people,true
organizing-projects,Organizing projects,true
working-with-numbers,Working with numbers,true
writing-and-storytelling,Writing and storytelling,true
designing-experiences,Designing experiences,true
leading-teams,Leading teams,true
researching-questions,Researching questions,true
building-or-repairing-things,Building or repairing things,true
learning-languages,Learning languages,true
