institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
BMCC,Computer Information Systems,CIS,CYB_CERT,Cybersecurity Certificate,CERT,2025-2026,Curriculum Requirements,program_required,30,10,CSC 101,Principles in Information Technology and Computation,3,,,,https://www.bmcc.cuny.edu/academics/departments/cis/course-listings/
BMCC,Computer Information Systems,CIS,CYB_CERT,Cybersecurity Certificate,CERT,2025-2026,Curriculum Requirements,program_required,30,10,CIS 115,Introduction to Computer and Information Security,3,,,,https://www.bmcc.cuny.edu/academics/departments/cis/course-listings/
BMCC,Computer Information Systems,CIS,CYB_CERT,Cybersecurity Certificate,CERT,2025-2026,Curriculum Requirements,program_required,30,10,CIS 165,Introduction to Operating Systems,3,CSC 101,,,https://www.bmcc.cuny.edu/academics/departments/cis/course-listings/
BMCC,Computer Information Systems,CIS,CYB_CERT,Cybersecurity Certificate,CERT,2025-2026,Curriculum Requirements,program_required,30,10,CIS 345,Telecommunication Networks I,3,CIS 165 or CSC 110 or CSC 111,,,https://www.bmcc.cuny.edu/academics/departments/cis/course-listings/
BMCC,Computer Information Systems,CIS,CYB_CERT,Cybersecurity Certificate,CERT,2025-2026,Curriculum Requirements,program_required,30,10,CIS 359,Information Assurance,3,CIS 165 or CSC 110 or CSC 111,,,https://www.bmcc.cuny.edu/academics/departments/cis/course-listings/
BMCC,Computer Information Systems,CIS,CYB_CERT,Cybersecurity Certificate,CERT,2025-2026,Curriculum Requirements,program_required,30,10,CIS 440,UNIX,3,CIS 165 or CSC 110 or CSC 111,,,https://www.bmcc.cuny.edu/academics/departments/cis/course-listings/
BMCC,Computer Information Systems,CIS,CYB_CERT,Cybersecurity Certificate,CERT,2025-2026,Curriculum Requirements,program_required,30,10,CIS 316,Introduction to Digital Forensics,3,CIS 165 or CSC 110 or CSC 111,,,https://www.bmcc.cuny.edu/academics/departments/cis/course-listings/
BMCC,Computer Information Systems,CIS,CYB_CERT,Cybersecurity Certificate,CERT,2025-2026,Curriculum Requirements,program_required,30,10,CIS 362,Cloud Computing,3,CIS 165 or CSC 110 or CSC 111,,,https://www.bmcc.cuny.edu/academics/departments/cis/course-listings/
BMCC,Computer Information Systems,CIS,CYB_CERT,Cybersecurity Certificate,CERT,2025-2026,Curriculum Requirements,program_required,30,10,CIS 455,Network Security,3,CIS 345,,,https://www.bmcc.cuny.edu/academics/departments/cis/course-listings/
BMCC,Computer Information Systems,CIS,CYB_CERT,Cybersecurity Certificate,CERT,2025-2026,Curriculum Requirements,program_required,30,10,CIS 459,Ethical Hacking and System Defense,3,CIS 345|CIS 440,,,https://www.bmcc.cuny.edu/academics/departments/cis/course-listings/
