institution_code,department_code,department_name
BMCC,ACC,Accounting
BMCC,AHS,Allied Health Sciences
BMCC,ALL,Academic Literacy and Linguistics
BMCC,ART,Music and Art
BMCC,BUS,Business Management
BMCC,CIS,Computer Information Systems
BMCC,CRJ,Criminology and Criminal Justice
BMCC,ENG,English
BMCC,ERS,Ethnic and Race Studies
BMCC,HED,Health Studies
BMCC,LIB,Library
BMCC,MAT,Mathematics
BMCC,MMA,Media Arts and Technology
BMCC,NUR,Nursing
BMCC,SCI,Science
BMCC,SSH,Social Sciences and Human Services
BMCC,SCT,Speech, Communications and Theatre Arts
