institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,Required Common Core,common_core,12,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/business-management/digital-marketing/
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,Required Common Core,common_core,12,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/business-management/digital-marketing/
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,Required Common Core,common_core,12,10,MAT 150,Introduction to Statistics,4,,,,https://www.bmcc.cuny.edu/academics/departments/math/mathematics-program/
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,Required Common Core,common_core,12,10,DMK-AS-LPS,Life and Physical Sciences requirement,3,,,RC_LIFE_PHYSICAL,https://www.bmcc.cuny.edu/academics/departments/business-management/digital-marketing/
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,Flexible Core,flexible_core,18,20,SPE 100,Fundamentals of Public Speaking,3,,SPE 102,,https://www.bmcc.cuny.edu/academics/departments/business-management/digital-marketing/
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,Flexible Core,flexible_core,18,20,SPE 102,Fundamentals of Public Speaking for Non-Native Speakers,3,,SPE 100,,https://www.bmcc.cuny.edu/academics/departments/business-management/digital-marketing/
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,Flexible Core,flexible_core,18,20,DMK-AS-CREATIVE2,Creative Expression requirement (second course),3,,,DMK_AS_CREATIVE,https://www.bmcc.cuny.edu/academics/departments/business-management/digital-marketing/
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,Flexible Core,flexible_core,18,20,DMK-AS-INDIVIDUAL,Individual and Society requirement,3,,,FC_INDIVIDUAL,https://www.bmcc.cuny.edu/academics/departments/business-management/digital-marketing/
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,Flexible Core,flexible_core,18,20,DMK-AS-SCIWORLD,Scientific World requirement,3,,,FC_SCIENTIFIC_WORLD,https://www.bmcc.cuny.edu/academics/departments/business-management/digital-marketing/
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,Flexible Core,flexible_core,18,20,DMK-AS-USEXP,U.S. Experience in Its Diversity requirement,3,,,FC_US_EXPERIENCE,https://www.bmcc.cuny.edu/academics/departments/business-management/digital-marketing/
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,Flexible Core,flexible_core,18,20,DMK-AS-WORLDCULT,World Cultures and Global Issues requirement,3,,,FC_WORLD_CULTURES,https://www.bmcc.cuny.edu/academics/departments/business-management/digital-marketing/
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,Program Requirements,program_required,15,30,BUS 104,Introduction to Business,3,,,,https://www.bmcc.cuny.edu/academics/departments/business-management/course-listings/
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,Program Requirements,program_required,15,30,MAR 100,Introduction to Marketing,3,,,,https://www.bmcc.cuny.edu/academics/departments/business-management/course-listings/
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,Program Requirements,program_required,15,30,MAR 330,Marketing Research and Analytics,3,ENG 101|MAT 150|MAR 100 or PSY 100,,,https://www.bmcc.cuny.edu/academics/departments/business-management/course-listings/
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,Program Requirements,program_required,15,30,MAR 340,Digital Marketing and Analytics,3,MAR 330,,,https://www.bmcc.cuny.edu/academics/departments/business-management/course-listings/
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,Program Requirements,program_required,15,30,BUS 110.5,Business Law for Digital Media,3,,,,https://www.bmcc.cuny.edu/academics/departments/business-management/course-listings/
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,Program Elective,program_elective,9,40,MAR 210,Consumer Motivation,3,MAR 100,,,https://www.bmcc.cuny.edu/academics/departments/business-management/course-listings/
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,Program Elective,program_elective,9,40,MAR 220,Essentials of Advertising,3,ENG 101|MAR 100,,,https://www.bmcc.cuny.edu/academics/departments/business-management/course-listings/
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,Program Elective,program_elective,9,40,MAR 230,Essentials of Public Relations,3,ENG 101|MAR 100,,,https://www.bmcc.cuny.edu/academics/departments/business-management/course-listings/
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,Program Elective,program_elective,9,40,BUS 150,Business Communication,3,ENG 101|ENG 201|BUS 104,,,https://www.bmcc.cuny.edu/academics/departments/business-management/course-listings/
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,Program Elective,program_elective,9,40,CIS 200,Introduction Systems and Technologies,3,ACC 122 or BUS 104,,,https://www.bmcc.cuny.edu/academics/departments/cis/course-listings/
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,Program Elective,program_elective,9,40,COM 245,The Mass Media,3,,,,https://www.bmcc.cuny.edu/academics/departments/business-management/digital-marketing/
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,Program Elective,program_elective,9,40,MMP 240,Web Design,3,CIS 180 or MMP 100,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,Business Management,BUS,DMK_AS,Digital Marketing,AS,2025-2026,General Elective,program_elective,6,50,DMK-AS-GENERAL,General Elective or Common Core STEM excess credits,6,,,BMCC_GENERAL_ELECTIVE,https://www.bmcc.cuny.edu/academics/departments/business-management/digital-marketing/
