institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
BMCC,Mathematics,MAT,DS_AS,Data Science,AS,2024-2025,Required Common Core,common_core,12,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/math/data-science/
BMCC,Mathematics,MAT,DS_AS,Data Science,AS,2024-2025,Required Common Core,common_core,12,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/math/data-science/
BMCC,Mathematics,MAT,DS_AS,Data Science,AS,2024-2025,Required Common Core,common_core,12,10,MAT 206.5,Intermediate Algebra and Precalculus,4,,,,https://www.bmcc.cuny.edu/academics/departments/math/course-listings/
BMCC,Mathematics,MAT,DS_AS,Data Science,AS,2024-2025,Required Common Core,common_core,12,10,CC-LIFE-PHYSICAL,Life and Physical Sciences Requirement,3,,,RC_LIFE_PHYSICAL,https://www.bmcc.cuny.edu/academics/departments/math/data-science/
BMCC,Mathematics,MAT,DS_AS,Data Science,AS,2024-2025,Flexible Core,flexible_core,18,20,SPE 100,Fundamentals of Public Speaking,3,,SPE 102,,https://www.bmcc.cuny.edu/academics/departments/math/data-science/
BMCC,Mathematics,MAT,DS_AS,Data Science,AS,2024-2025,Flexible Core,flexible_core,18,20,SPE 102,Fundamentals of Public Speaking for Non-Native Speakers,3,,SPE 100,,https://www.bmcc.cuny.edu/academics/departments/math/data-science/
BMCC,Mathematics,MAT,DS_AS,Data Science,AS,2024-2025,Flexible Core,flexible_core,18,20,FC-INDIVIDUAL,Individual and Society Requirement,3,,,FC_INDIVIDUAL,https://www.bmcc.cuny.edu/academics/departments/math/data-science/
BMCC,Mathematics,MAT,DS_AS,Data Science,AS,2024-2025,Flexible Core,flexible_core,18,20,CSC 103,Introduction to Data Analytics,3,,,,https://www.bmcc.cuny.edu/academics/departments/cis/course-listings/
BMCC,Mathematics,MAT,DS_AS,Data Science,AS,2024-2025,Flexible Core,flexible_core,18,20,CSC 111,Introduction to Programming,4,,,,https://www.bmcc.cuny.edu/academics/departments/cis/course-listings/
BMCC,Mathematics,MAT,DS_AS,Data Science,AS,2024-2025,Flexible Core,flexible_core,18,20,FC-US-EXP,U.S. Experience in Its Diversity Requirement,3,,,FC_US_EXPERIENCE,https://www.bmcc.cuny.edu/academics/departments/math/data-science/
BMCC,Mathematics,MAT,DS_AS,Data Science,AS,2024-2025,Flexible Core,flexible_core,18,20,FC-WORLD-CULTURES,World Cultures and Global Issues Requirement,3,,,FC_WORLD_CULTURES,https://www.bmcc.cuny.edu/academics/departments/math/data-science/
BMCC,Mathematics,MAT,DS_AS,Data Science,AS,2024-2025,Program Requirements,program_required,19,30,MAT 200,Introduction to Discrete Mathematics,4,,,,https://www.bmcc.cuny.edu/academics/departments/math/course-listings/
BMCC,Mathematics,MAT,DS_AS,Data Science,AS,2024-2025,Program Requirements,program_required,19,30,MAT 301,Analytic Geometry and Calculus I,4,MAT 206.5,,,https://www.bmcc.cuny.edu/academics/departments/math/course-listings/
BMCC,Mathematics,MAT,DS_AS,Data Science,AS,2024-2025,Program Requirements,program_required,19,30,MAT 302,Analytic Geometry and Calculus II,4,MAT 301,,,https://www.bmcc.cuny.edu/academics/departments/math/course-listings/
BMCC,Mathematics,MAT,DS_AS,Data Science,AS,2024-2025,Program Requirements,program_required,19,30,MAT 409,Probability and Statistics for Data Science,4,MAT 301,,,https://www.bmcc.cuny.edu/academics/departments/math/course-listings/
BMCC,Mathematics,MAT,DS_AS,Data Science,AS,2024-2025,Program Requirements,program_required,19,30,MAT 415,Linear Algebra for Data Science,3,MAT 301,,,https://www.bmcc.cuny.edu/academics/departments/math/course-listings/
BMCC,Mathematics,MAT,DS_AS,Data Science,AS,2024-2025,Program Electives,program_elective,9,40,MAT 420,An Introduction to Machine Learning,4,,,,https://www.bmcc.cuny.edu/academics/departments/math/course-listings/
BMCC,Mathematics,MAT,DS_AS,Data Science,AS,2024-2025,Program Electives,program_elective,9,40,CSC 203,Python Programming for Data Science,3,CSC 103|MAT 200 or MAT 206.5,,,https://www.bmcc.cuny.edu/academics/departments/cis/course-listings/
BMCC,Mathematics,MAT,DS_AS,Data Science,AS,2024-2025,Program Electives,program_elective,9,40,CSC 211,Advanced Programming Techniques,3,CSC 111,,,https://www.bmcc.cuny.edu/academics/departments/cis/course-listings/
BMCC,Mathematics,MAT,DS_AS,Data Science,AS,2024-2025,Program Electives,program_elective,9,40,CIS 395,Database Systems I,3,CSC 111,,,https://www.bmcc.cuny.edu/academics/departments/cis/course-listings/
BMCC,Mathematics,MAT,DS_AS,Data Science,AS,2024-2025,Program Electives,program_elective,9,40,CIS 490,Introduction to Data Science,3,CIS 395,,,https://www.bmcc.cuny.edu/academics/departments/cis/course-listings/
BMCC,Mathematics,MAT,DS_AS,Data Science,AS,2024-2025,General Electives,program_elective,2,50,DS-GENERAL-ELECTIVE,General Elective / STEM Common Core Excess Credits,2,,,BMCC_GENERAL_ELECTIVE,https://www.bmcc.cuny.edu/academics/departments/math/data-science/
