institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
BMCC,Social Sciences and Human Services,SSH,ECO_AA,Economics,AA,2025-2026,Required Common Core,common_core,12,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/economics/
BMCC,Social Sciences and Human Services,SSH,ECO_AA,Economics,AA,2025-2026,Required Common Core,common_core,12,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/economics/
BMCC,Social Sciences and Human Services,SSH,ECO_AA,Economics,AA,2025-2026,Required Common Core,common_core,12,10,MAT 206,Precalculus,4,,,ECO_AA_MATH_QUANT,https://www.bmcc.cuny.edu/academics/departments/social-sciences/economics/
BMCC,Social Sciences and Human Services,SSH,ECO_AA,Economics,AA,2025-2026,Required Common Core,common_core,12,10,ECO-AA-LPS,Life and Physical Sciences - Economics options,4,,,ECO_AA_LIFE_PHYSICAL,https://www.bmcc.cuny.edu/academics/departments/social-sciences/economics/
BMCC,Social Sciences and Human Services,SSH,ECO_AA,Economics,AA,2025-2026,Flexible Core,flexible_core,18,20,SPE 100,Fundamentals of Public Speaking,3,,SPE 102,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/economics/
BMCC,Social Sciences and Human Services,SSH,ECO_AA,Economics,AA,2025-2026,Flexible Core,flexible_core,18,20,FC-INDIVIDUAL,Individual and Society requirement,3,,,FC_INDIVIDUAL,https://www.bmcc.cuny.edu/academics/departments/social-sciences/economics/
BMCC,Social Sciences and Human Services,SSH,ECO_AA,Economics,AA,2025-2026,Flexible Core,flexible_core,18,20,FC-SCIWORLD,Scientific World requirement,3,,,FC_SCIENTIFIC_WORLD,https://www.bmcc.cuny.edu/academics/departments/social-sciences/economics/
BMCC,Social Sciences and Human Services,SSH,ECO_AA,Economics,AA,2025-2026,Flexible Core,flexible_core,18,20,FC-US-EXP-1,U.S. Experience in Its Diversity requirement (1 of 2),3,,,FC_US_EXPERIENCE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/economics/
BMCC,Social Sciences and Human Services,SSH,ECO_AA,Economics,AA,2025-2026,Flexible Core,flexible_core,18,20,FC-US-EXP-2,U.S. Experience in Its Diversity requirement (2 of 2),3,,,FC_US_EXPERIENCE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/economics/
BMCC,Social Sciences and Human Services,SSH,ECO_AA,Economics,AA,2025-2026,Flexible Core,flexible_core,18,20,FC-WORLD-CULTURES,World Cultures and Global Issues requirement,3,,,FC_WORLD_CULTURES,https://www.bmcc.cuny.edu/academics/departments/social-sciences/economics/
