institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Required Common Core,common_core,12,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Required Common Core,common_core,12,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Required Common Core,common_core,12,10,ESC-AS-MATH,Mathematical and Quantitative Reasoning - Engineering Science,4,,,ESC_AS_MATH_QUANT,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Required Common Core,common_core,12,10,ESC-AS-LPS,Life and Physical Sciences - Engineering Science,4,,,ESC_AS_LIFE_PHYSICAL,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Flexible Core,flexible_core,18,20,SPE 100,Fundamentals of Public Speaking,3,,SPE 102,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Flexible Core,flexible_core,18,20,FC-INDIVIDUAL,Individual and Society Requirement,3,,,FC_INDIVIDUAL,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Flexible Core,flexible_core,18,20,CHE 202,College Chemistry II,4,CHE 201,,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Flexible Core,flexible_core,18,20,ESC-AS-SCI-METHODS,Scientific World methods course - Engineering Science,4,,,ESC_AS_SCI_METHODS,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Flexible Core,flexible_core,18,20,FC-US-EXP,U.S. Experience in Its Diversity Requirement,3,,,FC_US_EXPERIENCE,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Flexible Core,flexible_core,18,20,FC-WORLD-CULTURES,World Cultures and Global Issues Requirement,3,,,FC_WORLD_CULTURES,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Program Requirements,program_required,26,30,ESC 111,Elements of Engineering Design,1,MAT 206|CHE 201,,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Program Requirements,program_required,26,30,ESC 113,Computer Aided Analysis for Engineering,2,MAT 206|CHE 201|PHY 215,,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Program Requirements,program_required,26,30,MAT 301,Analytic Geometry and Calculus I,4,MAT 206,,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Program Requirements,program_required,26,30,MAT 302,Analytic Geometry and Calculus II,4,MAT 301,,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Program Requirements,program_required,26,30,MAT 303,Analytic Geometry and Calculus III,4,MAT 302,,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Program Requirements,program_required,26,30,MAT 501,Ordinary Differential Equations,3,MAT 302,,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Program Requirements,program_required,26,30,PHY 215,University Physics I,4,MAT 302,,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Program Requirements,program_required,26,30,PHY 225,University Physics II,4,PHY 215,,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Curriculum Electives,program_elective,9,40,CHE 230,Organic Chemistry I,5,CHE 202,,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Curriculum Electives,program_elective,9,40,CHE 240,Organic Chemistry II,5,CHE 230,,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Curriculum Electives,program_elective,9,40,ESC 130,Engineering Graphics,2,,,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Curriculum Electives,program_elective,9,40,ESC 131,Engineering Graphics - AutoCAD,2,,,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Curriculum Electives,program_elective,9,40,ESC 201,Engineering Mechanics I,3,ESC 130|MAT 302|PHY 225,,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Curriculum Electives,program_elective,9,40,ESC 202,Engineering Mechanics II,3,ESC 130|ESC 201|PHY 225,,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Curriculum Electives,program_elective,9,40,ESC 211,Thermodynamics I,3,CHE 201|PHY 225,,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Curriculum Electives,program_elective,9,40,ESC 221,Circuits and Systems I,4,PHY 225|ESC 113,,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Curriculum Electives,program_elective,9,40,ESC 223,Switching Systems and Logic Design,3,MAT 302|PHY 225,,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Curriculum Electives,program_elective,9,40,GLY 210,Geology I,4,,,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Curriculum Electives,program_elective,9,40,MAT 315,Linear Algebra,3,MAT 302,,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
BMCC,Science,SCI,ESC_AS,Engineering Science,AS,2026-2027,Curriculum Electives,program_elective,9,40,PHY 240,Modern Physics,3,PHY 225,,,https://www.bmcc.cuny.edu/academics/departments/science/engineering-science/
