institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
BMCC,Science,SCI,FSC_AS,Science for Forensics,AS,2026-2027,Degree Map Requirements,program_required,59,10,MAT 206,Precalculus,4,,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-forensics/
BMCC,Science,SCI,FSC_AS,Science for Forensics,AS,2026-2027,Degree Map Requirements,program_required,59,10,BIO 210,Biology I,4,,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-forensics/
BMCC,Science,SCI,FSC_AS,Science for Forensics,AS,2026-2027,Degree Map Requirements,program_required,59,10,CHE 201,College Chemistry I,4,,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-forensics/
BMCC,Science,SCI,FSC_AS,Science for Forensics,AS,2026-2027,Degree Map Requirements,program_required,59,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-forensics/
BMCC,Science,SCI,FSC_AS,Science for Forensics,AS,2026-2027,Degree Map Requirements,program_required,59,10,MAT 301,Analytic Geometry and Calculus I,4,MAT 206,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-forensics/
BMCC,Science,SCI,FSC_AS,Science for Forensics,AS,2026-2027,Degree Map Requirements,program_required,59,10,BIO 220,Biology II,4,BIO 210,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-forensics/
BMCC,Science,SCI,FSC_AS,Science for Forensics,AS,2026-2027,Degree Map Requirements,program_required,59,10,CHE 202,College Chemistry II,4,CHE 201,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-forensics/
BMCC,Science,SCI,FSC_AS,Science for Forensics,AS,2026-2027,Degree Map Requirements,program_required,59,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-forensics/
BMCC,Science,SCI,FSC_AS,Science for Forensics,AS,2026-2027,Degree Map Requirements,program_required,59,10,MAT 302,Analytic Geometry and Calculus II,4,MAT 301,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-forensics/
BMCC,Science,SCI,FSC_AS,Science for Forensics,AS,2026-2027,Degree Map Requirements,program_required,59,10,CHE 230,Organic Chemistry I,5,CHE 202,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-forensics/
BMCC,Science,SCI,FSC_AS,Science for Forensics,AS,2026-2027,Degree Map Requirements,program_required,59,10,PHY 215,University Physics I,4,MAT 302,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-forensics/
BMCC,Science,SCI,FSC_AS,Science for Forensics,AS,2026-2027,Degree Map Requirements,program_required,59,10,SPE 100,Fundamentals of Public Speaking,3,,SPE 102,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-forensics/
BMCC,Science,SCI,FSC_AS,Science for Forensics,AS,2026-2027,Degree Map Requirements,program_required,59,10,CHE 205,Quantitative Analysis,4,CHE 202|MAT 206,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-forensics/
BMCC,Science,SCI,FSC_AS,Science for Forensics,AS,2026-2027,Degree Map Requirements,program_required,59,10,CHE 240,Organic Chemistry II,5,CHE 230,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-forensics/
BMCC,Science,SCI,FSC_AS,Science for Forensics,AS,2026-2027,Degree Map Requirements,program_required,59,10,PHY 225,University Physics II,4,PHY 215,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-forensics/
BMCC,Science,SCI,FSC_AS,Science for Forensics,AS,2026-2027,Pathways Electives,program_elective,9,20,FSC-AS-PATHWAYS,Pathways Electives,9,,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-forensics/
