institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
BMCC,Social Sciences and Human Services,SSH,GER_AS,Gerontology,AS,2025-2026,Required Common Core,common_core,12,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/programs/gerontology/
BMCC,Social Sciences and Human Services,SSH,GER_AS,Gerontology,AS,2025-2026,Required Common Core,common_core,12,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/programs/gerontology/
BMCC,Social Sciences and Human Services,SSH,GER_AS,Gerontology,AS,2025-2026,Required Common Core,common_core,12,10,GER-AS-MATH,Mathematical and Quantitative Reasoning,3,,,RC_MATH_QUANT,https://www.bmcc.cuny.edu/academics/programs/gerontology/
BMCC,Social Sciences and Human Services,SSH,GER_AS,Gerontology,AS,2025-2026,Required Common Core,common_core,12,10,GER-AS-LPS,Life and Physical Sciences,3,,,RC_LIFE_PHYSICAL,https://www.bmcc.cuny.edu/academics/programs/gerontology/
BMCC,Social Sciences and Human Services,SSH,GER_AS,Gerontology,AS,2025-2026,Flexible Core,flexible_core,18,20,GER-AS-CREATIVE,Creative Expression (two courses),6,,,FC_CREATIVE,https://www.bmcc.cuny.edu/academics/programs/gerontology/
BMCC,Social Sciences and Human Services,SSH,GER_AS,Gerontology,AS,2025-2026,Flexible Core,flexible_core,18,20,GER-AS-INDIVIDUAL,Individual and Society,3,,,FC_INDIVIDUAL,https://www.bmcc.cuny.edu/academics/programs/gerontology/
BMCC,Social Sciences and Human Services,SSH,GER_AS,Gerontology,AS,2025-2026,Flexible Core,flexible_core,18,20,GER-AS-SCIENTIFIC,Scientific World,3,,,FC_SCIENTIFIC_WORLD,https://www.bmcc.cuny.edu/academics/programs/gerontology/
BMCC,Social Sciences and Human Services,SSH,GER_AS,Gerontology,AS,2025-2026,Flexible Core,flexible_core,18,20,GER-AS-US,U.S. Experience in Its Diversity,3,,,FC_US_EXPERIENCE,https://www.bmcc.cuny.edu/academics/programs/gerontology/
BMCC,Social Sciences and Human Services,SSH,GER_AS,Gerontology,AS,2025-2026,Flexible Core,flexible_core,18,20,GER-AS-WORLD,World Cultures and Global Issues,3,,,FC_WORLD_CULTURES,https://www.bmcc.cuny.edu/academics/programs/gerontology/
BMCC,Social Sciences and Human Services,SSH,GER_AS,Gerontology,AS,2025-2026,Curriculum Requirements,program_required,15,30,HSD 110,Comprehensive Health Education,3,,,,https://www.bmcc.cuny.edu/academics/programs/gerontology/
BMCC,Social Sciences and Human Services,SSH,GER_AS,Gerontology,AS,2025-2026,Curriculum Requirements,program_required,15,30,HSD 310,Aging Health and Culture Global Perspectives,3,,,,https://www.bmcc.cuny.edu/academics/programs/gerontology/
BMCC,Social Sciences and Human Services,SSH,GER_AS,Gerontology,AS,2025-2026,Curriculum Requirements,program_required,15,30,HUM 101,Introduction to Human Services and Social Work,3,,,,https://www.bmcc.cuny.edu/academics/programs/gerontology/
BMCC,Social Sciences and Human Services,SSH,GER_AS,Gerontology,AS,2025-2026,Curriculum Requirements,program_required,15,30,HUM 211,Introduction to Gerontology,3,,,,https://www.bmcc.cuny.edu/academics/programs/gerontology/
BMCC,Social Sciences and Human Services,SSH,GER_AS,Gerontology,AS,2025-2026,Curriculum Requirements,program_required,15,30,HUM 411,Social Welfare Programs and Policies,3,POL 100,,,https://www.bmcc.cuny.edu/academics/programs/gerontology/
BMCC,Social Sciences and Human Services,SSH,GER_AS,Gerontology,AS,2025-2026,Program Options,program_required,6,40,GER-AS-FIELD,Fieldwork or Health Counseling,3,,,GER_AS_FIELD_OPTION,https://www.bmcc.cuny.edu/academics/programs/gerontology/
BMCC,Social Sciences and Human Services,SSH,GER_AS,Gerontology,AS,2025-2026,Program Options,program_required,6,40,GER-AS-DEATH,Death and Dying option,3,,,GER_AS_DEATH_OPTION,https://www.bmcc.cuny.edu/academics/programs/gerontology/
BMCC,Social Sciences and Human Services,SSH,GER_AS,Gerontology,AS,2025-2026,Gerontology Electives,program_elective,6,45,GER-AS-ELECTIVES,Choose six credits of approved electives,6,,,GER_AS_ELECTIVES,https://www.bmcc.cuny.edu/academics/programs/gerontology/
BMCC,Social Sciences and Human Services,SSH,GER_AS,Gerontology,AS,2025-2026,General Elective,program_elective,3,50,GER-AS-GENERAL,General Elective,3,,,BMCC_GENERAL_ELECTIVE,https://www.bmcc.cuny.edu/academics/programs/gerontology/
