institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
BMCC,Social Sciences and Human Services,SSH,GWS_AA,Gender and Women’s Studies,AA,2025-2026,Required Common Core,common_core,12,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/programs/gender-and-womens-studies/
BMCC,Social Sciences and Human Services,SSH,GWS_AA,Gender and Women’s Studies,AA,2025-2026,Required Common Core,common_core,12,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/programs/gender-and-womens-studies/
BMCC,Social Sciences and Human Services,SSH,GWS_AA,Gender and Women’s Studies,AA,2025-2026,Required Common Core,common_core,12,10,GWS-AA-MATH,Mathematical and Quantitative Reasoning,3,,,RC_MATH_QUANT,https://www.bmcc.cuny.edu/academics/programs/gender-and-womens-studies/
BMCC,Social Sciences and Human Services,SSH,GWS_AA,Gender and Women’s Studies,AA,2025-2026,Required Common Core,common_core,12,10,GWS-AA-LPS,Life and Physical Sciences,3,,,RC_LIFE_PHYSICAL,https://www.bmcc.cuny.edu/academics/programs/gender-and-womens-studies/
BMCC,Social Sciences and Human Services,SSH,GWS_AA,Gender and Women’s Studies,AA,2025-2026,Flexible Core,flexible_core,18,20,GWS-AA-CREATIVE,Creative Expression (two courses),6,,,FC_CREATIVE,https://www.bmcc.cuny.edu/academics/programs/gender-and-womens-studies/
BMCC,Social Sciences and Human Services,SSH,GWS_AA,Gender and Women’s Studies,AA,2025-2026,Flexible Core,flexible_core,18,20,GWS-AA-INDIVIDUAL,Individual and Society,3,,,FC_INDIVIDUAL,https://www.bmcc.cuny.edu/academics/programs/gender-and-womens-studies/
BMCC,Social Sciences and Human Services,SSH,GWS_AA,Gender and Women’s Studies,AA,2025-2026,Flexible Core,flexible_core,18,20,GWS-AA-SCIENTIFIC,Scientific World,3,,,FC_SCIENTIFIC_WORLD,https://www.bmcc.cuny.edu/academics/programs/gender-and-womens-studies/
BMCC,Social Sciences and Human Services,SSH,GWS_AA,Gender and Women’s Studies,AA,2025-2026,Flexible Core,flexible_core,18,20,GWS-AA-US,U.S. Experience in Its Diversity,3,,,FC_US_EXPERIENCE,https://www.bmcc.cuny.edu/academics/programs/gender-and-womens-studies/
BMCC,Social Sciences and Human Services,SSH,GWS_AA,Gender and Women’s Studies,AA,2025-2026,Flexible Core,flexible_core,18,20,GWS-AA-WORLD,World Cultures and Global Issues,3,,,FC_WORLD_CULTURES,https://www.bmcc.cuny.edu/academics/programs/gender-and-womens-studies/
BMCC,Social Sciences and Human Services,SSH,GWS_AA,Gender and Women’s Studies,AA,2025-2026,Curriculum Requirements,program_required,12,30,GWS 100,Introduction to Gender and Women's Studies,3,,,,https://www.bmcc.cuny.edu/academics/programs/gender-and-womens-studies/
BMCC,Social Sciences and Human Services,SSH,GWS_AA,Gender and Women’s Studies,AA,2025-2026,Curriculum Requirements,program_required,12,30,COM 265,Gender and Communication,3,SPE 100,,,https://www.bmcc.cuny.edu/academics/programs/gender-and-womens-studies/
BMCC,Social Sciences and Human Services,SSH,GWS_AA,Gender and Women’s Studies,AA,2025-2026,Curriculum Requirements,program_required,12,30,SOC 210,Gender and Society,3,SOC 100,,,https://www.bmcc.cuny.edu/academics/programs/gender-and-womens-studies/
BMCC,Social Sciences and Human Services,SSH,GWS_AA,Gender and Women’s Studies,AA,2025-2026,Curriculum Requirements,program_required,12,30,GWS 300,Gender and Women's Studies Capstone,3,GWS 100,,,https://www.bmcc.cuny.edu/academics/programs/gender-and-womens-studies/
BMCC,Social Sciences and Human Services,SSH,GWS_AA,Gender and Women’s Studies,AA,2025-2026,Program Electives,program_elective,9,40,GWS-AA-ELECTIVES,Choose nine credits of approved GWS electives,9,,,GWS_AA_ELECTIVES,https://www.bmcc.cuny.edu/academics/programs/gender-and-womens-studies/
BMCC,Social Sciences and Human Services,SSH,GWS_AA,Gender and Women’s Studies,AA,2025-2026,Liberal Arts Elective,program_elective,3,45,GWS-AA-LIBERAL,Liberal Arts Elective,3,,,BMCC_LIBERAL_ARTS_ELECTIVE,https://www.bmcc.cuny.edu/academics/programs/gender-and-womens-studies/
BMCC,Social Sciences and Human Services,SSH,GWS_AA,Gender and Women’s Studies,AA,2025-2026,General Electives,program_elective,6,50,GWS-AA-GENERAL,General Electives,6,,,BMCC_GENERAL_ELECTIVE,https://www.bmcc.cuny.edu/academics/programs/gender-and-womens-studies/
