institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,Required Common Core,common_core,12,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,Required Common Core,common_core,12,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,Required Common Core,common_core,12,10,HIS-AA-MATHQUANT,Mathematical and Quantitative Reasoning requirement,3,,,RC_MATH_QUANT,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,Required Common Core,common_core,12,10,HIS-AA-LPS,Life and Physical Sciences requirement,3,,,RC_LIFE_PHYSICAL,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,Flexible Core,flexible_core,18,20,SPE 100,Fundamentals of Public Speaking,3,,SPE 102,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,Flexible Core,flexible_core,18,20,HIS-AA-CREATIVE2,Creative Expression requirement (second course),3,,,HIS_AA_CREATIVE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,Flexible Core,flexible_core,18,20,PHI 100,Philosophy,3,,ECO 100,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,Flexible Core,flexible_core,18,20,HIS-AA-SCIWORLD,Scientific World requirement,3,,,FC_SCIENTIFIC_WORLD,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,Flexible Core,flexible_core,18,20,HIS-AA-USEXP,U.S. Experience in Its Diversity requirement,3,,,FC_US_EXPERIENCE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,Flexible Core,flexible_core,18,20,HIS-AA-WORLDCULT,World Cultures and Global Issues requirement,3,,,FC_WORLD_CULTURES,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,History Sequence,program_required,6,30,HIS 101,Western Civilization: From Ancient to Early Modern Times,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history-courses/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,History Sequence,program_required,6,30,HIS 102,Western Civilization: The Emergence of the Modern World,3,HIS 101,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history-courses/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,History Sequence,program_required,6,30,HIS 115,World History I,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history-courses/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,History Sequence,program_required,6,30,HIS 116,World History II,3,HIS 115,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history-courses/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,History Sequence,program_required,6,30,HIS 120,Early American History: Colonial Period to Civil War,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history-courses/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,History Sequence,program_required,6,30,HIS 125,Modern American History: Civil War to Present,3,HIS 120,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history-courses/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,Program Requirements,program_required,3,35,HIS 275,History Research and Writing Methods,3,ENG 201,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history-courses/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,History Electives,program_elective,9,40,HIS 111,History of Science and Technology,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history-courses/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,History Electives,program_elective,9,40,HIS 114,Asian American History (non-Western),3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history-courses/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,History Electives,program_elective,9,40,HIS 121,History of African Civilization (non-Western),3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history-courses/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,History Electives,program_elective,9,40,HIS 122,Africa 1500 to Present (non-Western),3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history-courses/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,History Electives,program_elective,9,40,HIS 123,African American History: 17th Century to 1865,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history-courses/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,History Electives,program_elective,9,40,HIS 124,African-American History: 1865 to Present,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history-courses/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,History Electives,program_elective,9,40,HIS 126,Caribbean History,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history-courses/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,History Electives,program_elective,9,40,HIS 127,History of Puerto Rico: Discovery through 19th Century,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history-courses/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,History Electives,program_elective,9,40,HIS 128,History of Puerto Rico: 19th Century to Present,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history-courses/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,History Electives,program_elective,9,40,HIS 129,An Introduction to the Middle East (non-Western),3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history-courses/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,History Electives,program_elective,9,40,HIS 130,History of Latin America,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history-courses/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,History Electives,program_elective,9,40,HIS 131,History of Dominican Republic,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history-courses/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,History Electives,program_elective,9,40,HIS 225,History of Women,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history-courses/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,History Electives,program_elective,9,40,HIS 226,Conflict in the Middle East (non-Western),3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history-courses/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,Social Science or Ethnic Studies Electives,program_elective,6,45,HIS-AA-SOCSCI-1,Social Science or Ethnic Studies elective (1 of 2),3,,,HIS_AA_SOCSCI_ETHNIC,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,Social Science or Ethnic Studies Electives,program_elective,6,45,HIS-AA-SOCSCI-2,Social Science or Ethnic Studies elective (2 of 2),3,,,HIS_AA_SOCSCI_ETHNIC,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,General Elective,program_elective,6,50,HIS-AA-GENERAL-1,General Elective (1 of 2),3,,,BMCC_GENERAL_ELECTIVE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history/
BMCC,Social Sciences and Human Services,SSH,HIS_AA,History,AA,2025-2026,General Elective,program_elective,6,50,HIS-AA-GENERAL-2,General Elective (2 of 2),3,,,BMCC_GENERAL_ELECTIVE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/history/
