institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
BMCC,Social Sciences and Human Services,SSH,HMS_AS,Human Services,AS,2025-2026,Required Common Core,common_core,12,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/human-services/
BMCC,Social Sciences and Human Services,SSH,HMS_AS,Human Services,AS,2025-2026,Required Common Core,common_core,12,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/human-services/
BMCC,Social Sciences and Human Services,SSH,HMS_AS,Human Services,AS,2025-2026,Required Common Core,common_core,12,10,HMS-AS-MATH,Mathematical and Quantitative Reasoning,3,,,RC_MATH_QUANT,https://www.bmcc.cuny.edu/academics/departments/social-sciences/human-services/
BMCC,Social Sciences and Human Services,SSH,HMS_AS,Human Services,AS,2025-2026,Required Common Core,common_core,12,10,HMS-AS-LPS,Life and Physical Sciences,3,,,RC_LIFE_PHYSICAL,https://www.bmcc.cuny.edu/academics/departments/social-sciences/human-services/
BMCC,Social Sciences and Human Services,SSH,HMS_AS,Human Services,AS,2025-2026,Flexible Core,flexible_core,18,20,HMS-AS-CREATIVE,Creative Expression (two courses),6,,,FC_CREATIVE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/human-services/
BMCC,Social Sciences and Human Services,SSH,HMS_AS,Human Services,AS,2025-2026,Flexible Core,flexible_core,18,20,HMS-AS-INDIVIDUAL,Individual and Society,3,,,FC_INDIVIDUAL,https://www.bmcc.cuny.edu/academics/departments/social-sciences/human-services/
BMCC,Social Sciences and Human Services,SSH,HMS_AS,Human Services,AS,2025-2026,Flexible Core,flexible_core,18,20,HMS-AS-SCIENTIFIC,Scientific World,3,,,FC_SCIENTIFIC_WORLD,https://www.bmcc.cuny.edu/academics/departments/social-sciences/human-services/
BMCC,Social Sciences and Human Services,SSH,HMS_AS,Human Services,AS,2025-2026,Flexible Core,flexible_core,18,20,HMS-AS-US,U.S. Experience in Its Diversity,3,,,FC_US_EXPERIENCE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/human-services/
BMCC,Social Sciences and Human Services,SSH,HMS_AS,Human Services,AS,2025-2026,Flexible Core,flexible_core,18,20,HMS-AS-WORLD,World Cultures and Global Issues,3,,,FC_WORLD_CULTURES,https://www.bmcc.cuny.edu/academics/departments/social-sciences/human-services/
BMCC,Social Sciences and Human Services,SSH,HMS_AS,Human Services,AS,2025-2026,Curriculum Requirements,program_required,18,30,HUM 101,Introduction to Human Services and Social Work,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/human-services/
BMCC,Social Sciences and Human Services,SSH,HMS_AS,Human Services,AS,2025-2026,Curriculum Requirements,program_required,18,30,HUM 201,Human Services Skills,3,HUM 101,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/human-services/
BMCC,Social Sciences and Human Services,SSH,HMS_AS,Human Services,AS,2025-2026,Curriculum Requirements,program_required,18,30,HUM 301,Field Experience in Human Services I,3,HUM 101|HUM 201,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/human-services/
BMCC,Social Sciences and Human Services,SSH,HMS_AS,Human Services,AS,2025-2026,Curriculum Requirements,program_required,18,30,HUM 401,Field Experience in Human Services II,3,HUM 301,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/human-services/
BMCC,Social Sciences and Human Services,SSH,HMS_AS,Human Services,AS,2025-2026,Curriculum Requirements,program_required,18,30,POL 100,American Government,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/human-services/
BMCC,Social Sciences and Human Services,SSH,HMS_AS,Human Services,AS,2025-2026,Curriculum Requirements,program_required,18,30,HUM 411,Social Welfare Programs and Policies,3,POL 100,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/human-services/
BMCC,Social Sciences and Human Services,SSH,HMS_AS,Human Services,AS,2025-2026,Program Options,program_required,6,40,HMS-AS-HUM-OPTION,Choose HUM 211 HUM 212 or HUM 213,3,,,HMS_AS_HUM_OPTION,https://www.bmcc.cuny.edu/academics/departments/social-sciences/human-services/
BMCC,Social Sciences and Human Services,SSH,HMS_AS,Human Services,AS,2025-2026,Program Options,program_required,6,40,HMS-AS-PSY-SOC,Choose PSY 210 PSY 240 PSY 250 PSY 260 SOC 230 or SOC 250,3,,,HMS_AS_PSY_SOC_OPTION,https://www.bmcc.cuny.edu/academics/departments/social-sciences/human-services/
BMCC,Social Sciences and Human Services,SSH,HMS_AS,Human Services,AS,2025-2026,Modern Language,program_required,3,45,HMS-AS-LANGUAGE,Second course in the same Modern Foreign Language,3,,,HMS_AS_MODERN_LANGUAGE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/human-services/
BMCC,Social Sciences and Human Services,SSH,HMS_AS,Human Services,AS,2025-2026,General Elective,program_elective,3,50,HMS-AS-GENERAL,General Elective,3,,,BMCC_GENERAL_ELECTIVE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/human-services/
