code,name,system,borough,website
BARUCH,Baruch College,CUNY,Manhattan,https://baruch.cuny.edu
BMCC,Borough of Manhattan Community College,CUNY,Manhattan,https://www.bmcc.cuny.edu
BCC,Bronx Community College,CUNY,Bronx,https://www.bcc.cuny.edu
BROOKLYN,Brooklyn College,CUNY,Brooklyn,https://www.brooklyn.edu
CCNY,The City College of New York,CUNY,Manhattan,https://www.ccny.cuny.edu
CSI,College of Staten Island,CUNY,Staten Island,https://www.csi.cuny.edu
NEWMARK,Craig Newmark Graduate School of Journalism,CUNY,Manhattan,https://www.journalism.cuny.edu
GC,CUNY Graduate Center,CUNY,Manhattan,https://www.gc.cuny.edu
SPH,CUNY Graduate School of Public Health and Health Policy,CUNY,Manhattan,https://sph.cuny.edu
SLU,CUNY School of Labor and Urban Studies,CUNY,Manhattan,https://slu.cuny.edu
LAW,CUNY School of Law,CUNY,Queens,https://www.law.cuny.edu
MED,CUNY School of Medicine,CUNY,Manhattan,https://medicine.cuny.edu
SPS,CUNY School of Professional Studies,CUNY,Manhattan,https://sps.cuny.edu
GUTTMAN,Guttman Community College,CUNY,Manhattan,https://guttman.cuny.edu
HOSTOS,Hostos Community College,CUNY,Bronx,https://www.hostos.cuny.edu
HUNTER,Hunter College,CUNY,Manhattan,https://hunter.cuny.edu
JOHNJAY,John Jay College of Criminal Justice,CUNY,Manhattan,https://www.jjay.cuny.edu
KCC,Kingsborough Community College,CUNY,Brooklyn,https://www.kbcc.cuny.edu
LAGCC,LaGuardia Community College,CUNY,Queens,https://www.laguardia.edu
LEHMAN,Lehman College,CUNY,Bronx,https://www.lehman.edu
MACAULAY,Macaulay Honors College,CUNY,Manhattan,https://macaulay.cuny.edu
MEC,Medgar Evers College,CUNY,Brooklyn,https://www.mec.cuny.edu
CITYTECH,New York City College of Technology,CUNY,Brooklyn,https://www.citytech.cuny.edu
QUEENS,Queens College,CUNY,Queens,https://www.qc.cuny.edu
QCC,Queensborough Community College,CUNY,Queens,https://www.qcc.cuny.edu
YORK,York College,CUNY,Queens,https://www.york.cuny.edu
