institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source,completion_options,required_course_sets,required_course_set_count,prerequisite_groups
JOHNJAY,Mathematics and Computer Science,MCS,JJAY_CSIS_BS,Computer Science and Information Security,BS,2024-2025,Required Core,common_core,12,10,ENG 101,Composition I,3,,,,https://jjay.smartcatalogiq.com/en/2024-2025/undergraduate-bulletin/majors/computer-science-and-information-security-bachelor-of-science/,,,,
JOHNJAY,Mathematics and Computer Science,MCS,JJAY_CSIS_BS,Computer Science and Information Security,BS,2024-2025,Required Core,common_core,12,10,ENG 201,Composition II,3,ENG 101,,,https://jjay.smartcatalogiq.com/en/2024-2025/undergraduate-bulletin/majors/computer-science-and-information-security-bachelor-of-science/,,,,
JOHNJAY,Mathematics and Computer Science,MCS,JJAY_CSIS_BS,Computer Science and Information Security,BS,2024-2025,Required Core,common_core,12,10,JJAY-CSIS-MQR,Mathematical and Quantitative Reasoning,3,,,JJAY_RC_MATH_QUANT,https://jjay.smartcatalogiq.com/en/2024-2025/undergraduate-bulletin/majors/computer-science-and-information-security-bachelor-of-science/,,,,
JOHNJAY,Mathematics and Computer Science,MCS,JJAY_CSIS_BS,Computer Science and Information Security,BS,2024-2025,Required Core,common_core,12,10,JJAY-CSIS-LPS,Life and Physical Sciences,3,,,JJAY_RC_LIFE_PHYSICAL,https://jjay.smartcatalogiq.com/en/2024-2025/undergraduate-bulletin/majors/computer-science-and-information-security-bachelor-of-science/,,,,
JOHNJAY,Mathematics and Computer Science,MCS,JJAY_CSIS_BS,Computer Science and Information Security,BS,2024-2025,Flexible Core,flexible_core,18,20,JJAY-CSIS-WORLD,World Cultures and Global Issues,3,,,JJAY_FC_WORLD_CULTURES,https://jjay.smartcatalogiq.com/en/2024-2025/undergraduate-bulletin/majors/computer-science-and-information-security-bachelor-of-science/,,,,
JOHNJAY,Mathematics and Computer Science,MCS,JJAY_CSIS_BS,Computer Science and Information Security,BS,2024-2025,Flexible Core,flexible_core,18,20,JJAY-CSIS-US,U.S. Experience in Its Diversity,3,,,JJAY_FC_US_EXPERIENCE,https://jjay.smartcatalogiq.com/en/2024-2025/undergraduate-bulletin/majors/computer-science-and-information-security-bachelor-of-science/,,,,
JOHNJAY,Mathematics and Computer Science,MCS,JJAY_CSIS_BS,Computer Science and Information Security,BS,2024-2025,Flexible Core,flexible_core,18,20,JJAY-CSIS-CREATIVE,Creative Expression,3,,,JJAY_FC_CREATIVE,https://jjay.smartcatalogiq.com/en/2024-2025/undergraduate-bulletin/majors/computer-science-and-information-security-bachelor-of-science/,,,,
JOHNJAY,Mathematics and Computer Science,MCS,JJAY_CSIS_BS,Computer Science and Information Security,BS,2024-2025,Flexible Core,flexible_core,18,20,JJAY-CSIS-INDIVIDUAL,Individual and Society,3,,,JJAY_FC_INDIVIDUAL,https://jjay.smartcatalogiq.com/en/2024-2025/undergraduate-bulletin/majors/computer-science-and-information-security-bachelor-of-science/,,,,
JOHNJAY,Mathematics and Computer Science,MCS,JJAY_CSIS_BS,Computer Science and Information Security,BS,2024-2025,Flexible Core,flexible_core,18,20,JJAY-CSIS-ADDITIONAL-FLEX,Additional Flexible Core course,3,,,JJAY_FC_ADDITIONAL,https://jjay.smartcatalogiq.com/en/2024-2025/undergraduate-bulletin/majors/computer-science-and-information-security-bachelor-of-science/,,,,
JOHNJAY,Mathematics and Computer Science,MCS,JJAY_CSIS_BS,Computer Science and Information Security,BS,2024-2025,Flexible Core,flexible_core,18,20,CSCI 271,Introduction to Computing and Programming,3,ENG 101|MAT 105,,,https://jjay.smartcatalogiq.com/en/2024-2025/undergraduate-bulletin/majors/computer-science-and-information-security-bachelor-of-science/,,,,
