institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
BMCC,Mathematics,MAT,MAT_AS,Mathematics,AS,2025-2026,Required Common Core,common_core,12,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/math/mathematics-program/
BMCC,Mathematics,MAT,MAT_AS,Mathematics,AS,2025-2026,Required Common Core,common_core,12,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/math/mathematics-program/
BMCC,Mathematics,MAT,MAT_AS,Mathematics,AS,2025-2026,Required Common Core,common_core,12,10,MAT 206,Precalculus,4,,,,https://www.bmcc.cuny.edu/academics/departments/math/mathematics-program/
BMCC,Mathematics,MAT,MAT_AS,Mathematics,AS,2025-2026,Required Common Core,common_core,12,10,MAT-AS-LPS,Life and Physical Sciences - Mathematics options,4,,,MAT_AS_LIFE_PHYSICAL,https://www.bmcc.cuny.edu/academics/departments/math/mathematics-program/
BMCC,Mathematics,MAT,MAT_AS,Mathematics,AS,2025-2026,Flexible Core,flexible_core,18,20,SPE 100,Fundamentals of Public Speaking,3,,SPE 102,,https://www.bmcc.cuny.edu/academics/departments/math/mathematics-program/
BMCC,Mathematics,MAT,MAT_AS,Mathematics,AS,2025-2026,Flexible Core,flexible_core,18,20,SPE 102,Fundamentals of Public Speaking for Non-Native Speakers,3,,SPE 100,,https://www.bmcc.cuny.edu/academics/departments/math/mathematics-program/
BMCC,Mathematics,MAT,MAT_AS,Mathematics,AS,2025-2026,Flexible Core,flexible_core,18,20,MAT-AS-CREATIVE,Creative Expression - Mathematics options,3,,,MAT_AS_CREATIVE,https://www.bmcc.cuny.edu/academics/departments/math/mathematics-program/
BMCC,Mathematics,MAT,MAT_AS,Mathematics,AS,2025-2026,Flexible Core,flexible_core,18,20,FC-INDIVIDUAL,Individual and Society requirement,3,,,FC_INDIVIDUAL,https://www.bmcc.cuny.edu/academics/departments/math/mathematics-program/
BMCC,Mathematics,MAT,MAT_AS,Mathematics,AS,2025-2026,Flexible Core,flexible_core,18,20,MAT-AS-SCIWORLD,Scientific World - Mathematics options,4,,,MAT_AS_SCIENTIFIC_WORLD,https://www.bmcc.cuny.edu/academics/departments/math/mathematics-program/
BMCC,Mathematics,MAT,MAT_AS,Mathematics,AS,2025-2026,Flexible Core,flexible_core,18,20,FC-US-EXP,U.S. Experience in Its Diversity requirement,3,,,FC_US_EXPERIENCE,https://www.bmcc.cuny.edu/academics/departments/math/mathematics-program/
BMCC,Mathematics,MAT,MAT_AS,Mathematics,AS,2025-2026,Flexible Core,flexible_core,18,20,FC-WORLD-CULTURES,World Cultures and Global Issues requirement,3,,,FC_WORLD_CULTURES,https://www.bmcc.cuny.edu/academics/departments/math/mathematics-program/
BMCC,Mathematics,MAT,MAT_AS,Mathematics,AS,2025-2026,Program Requirements,program_required,15,30,MAT 301,Analytic Geometry and Calculus I,4,MAT 206,,,https://www.bmcc.cuny.edu/academics/departments/math/mathematics-program/
