institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
BMCC,Nursing,NUR,NUR_AAS,Nursing,AAS,2025-2026,Required Common Core,common_core,13,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/nursing/nursing-program/
BMCC,Nursing,NUR,NUR_AAS,Nursing,AAS,2025-2026,Required Common Core,common_core,13,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/nursing/nursing-program/
BMCC,Nursing,NUR,NUR_AAS,Nursing,AAS,2025-2026,Required Common Core,common_core,13,10,MAT 104,Mathematics for Health Sciences,3,,,,https://www.bmcc.cuny.edu/academics/departments/math/mathematics-program/
BMCC,Nursing,NUR,NUR_AAS,Nursing,AAS,2025-2026,Required Common Core,common_core,13,10,BIO 425,Anatomy and Physiology I,4,CHE 121,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Nursing,NUR,NUR_AAS,Nursing,AAS,2025-2026,Flexible Core,flexible_core,10,20,SPE 100,Fundamentals of Public Speaking,3,,SPE 102,,https://www.bmcc.cuny.edu/academics/departments/nursing/nursing-program/
BMCC,Nursing,NUR,NUR_AAS,Nursing,AAS,2025-2026,Flexible Core,flexible_core,10,20,SPE 102,Fundamentals of Public Speaking for Non-Native Speakers,3,,SPE 100,,https://www.bmcc.cuny.edu/academics/departments/nursing/nursing-program/
BMCC,Nursing,NUR,NUR_AAS,Nursing,AAS,2025-2026,Flexible Core,flexible_core,10,20,CHE 121,"Fundamentals of General, Organic and Biological Chemistry I",4,,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Nursing,NUR,NUR_AAS,Nursing,AAS,2025-2026,Flexible Core,flexible_core,10,20,PSY 100,Introduction to Psychology,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Nursing,NUR,NUR_AAS,Nursing,AAS,2025-2026,Curriculum Requirements,program_required,42,30,BIO 426,Anatomy and Physiology II,4,BIO 425,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Nursing,NUR,NUR_AAS,Nursing,AAS,2025-2026,Curriculum Requirements,program_required,42,30,BIO 420,Microbiology,4,BIO 426,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Nursing,NUR,NUR_AAS,Nursing,AAS,2025-2026,Curriculum Requirements,program_required,42,30,NUR 112,Nursing Process I: Fundamentals of Patient Care,8,CHE 121|ENG 101|BIO 425|MAT 104|PSY 100,,,https://www.bmcc.cuny.edu/academics/departments/nursing/course-listings/
BMCC,Nursing,NUR,NUR_AAS,Nursing,AAS,2025-2026,Curriculum Requirements,program_required,42,30,NUR 211,Nursing Process II: Obstetrical and Psychiatric Nursing Care,8,NUR 112|BIO 426,,,https://www.bmcc.cuny.edu/academics/departments/nursing/course-listings/
BMCC,Nursing,NUR,NUR_AAS,Nursing,AAS,2025-2026,Curriculum Requirements,program_required,42,30,NUR 313,Nursing Process III: Pediatric and Basic Medical-Surgical Nursing Care,8,NUR 211,,,https://www.bmcc.cuny.edu/academics/departments/nursing/course-listings/
BMCC,Nursing,NUR,NUR_AAS,Nursing,AAS,2025-2026,Curriculum Requirements,program_required,42,30,NUR 411,Nursing Process IV: Medical-Surgical Nursing,8,NUR 313,,,https://www.bmcc.cuny.edu/academics/departments/nursing/course-listings/
BMCC,Nursing,NUR,NUR_AAS,Nursing,AAS,2025-2026,Curriculum Requirements,program_required,42,30,NUR 415,Professional Issues in Contemporary Nursing Practice,2,NUR 313,,,https://www.bmcc.cuny.edu/academics/departments/nursing/course-listings/
