institution_code,group_code,course_code,title,credits,source
BMCC,BMCC_GENERAL_ELECTIVE,ENG 321,Film,3,https://www.bmcc.cuny.edu/academics/departments/english/english-department-course-listings/
BMCC,RC_ENGLISH_COMPOSITION,ENG 100.5,"Intensive English Composition (Same as ENG 101)",3,https://www.bmcc.cuny.edu/academics/pathways/english-composition/
BMCC,RC_ENGLISH_COMPOSITION,ENG 100.7,"Intensive Composition for ESL Students (Same as ENG 101)",3,https://www.bmcc.cuny.edu/academics/pathways/english-composition/
BMCC,RC_ENGLISH_COMPOSITION,ENG 101,"English Composition",3,https://www.bmcc.cuny.edu/academics/pathways/english-composition/
BMCC,RC_ENGLISH_COMPOSITION,ENG 121,"English Composition & Introduction to Literature in Tandem",6,https://www.bmcc.cuny.edu/academics/pathways/english-composition/
BMCC,RC_ENGLISH_COMPOSITION,ENG 201,"Introduction to Literature",3,https://www.bmcc.cuny.edu/academics/pathways/english-composition/
BMCC,RC_MATH_QUANT,CSC 103,"Introduction to Data Analytics",3,https://www.bmcc.cuny.edu/academics/pathways/mathematical-and-quantitative-reasoning/
BMCC,RC_MATH_QUANT,MAT 100,"Fundamentals of Mathematics I",4,https://www.bmcc.cuny.edu/academics/pathways/mathematical-and-quantitative-reasoning/
BMCC,RC_MATH_QUANT,MAT 104,"Mathematics for Health Sciences",3,https://www.bmcc.cuny.edu/academics/pathways/mathematical-and-quantitative-reasoning/
BMCC,RC_MATH_QUANT,MAT 104.5,"Mathematics for Health Sciences with Elementary Algebra",3,https://www.bmcc.cuny.edu/academics/pathways/mathematical-and-quantitative-reasoning/
BMCC,RC_MATH_QUANT,MAT 109,"Mathematics for Respiratory Therapy",3,https://www.bmcc.cuny.edu/academics/pathways/mathematical-and-quantitative-reasoning/
BMCC,RC_MATH_QUANT,MAT 110,"Fundamentals of Mathematics I",3,https://www.bmcc.cuny.edu/academics/pathways/mathematical-and-quantitative-reasoning/
BMCC,RC_MATH_QUANT,MAT 110.5,"Fundamentals of Mathematics I with Algebra",3,https://www.bmcc.cuny.edu/academics/pathways/mathematical-and-quantitative-reasoning/
BMCC,RC_MATH_QUANT,MAT 150,"Introduction to Statistics (same as MAT 150.5)",4,https://www.bmcc.cuny.edu/academics/pathways/mathematical-and-quantitative-reasoning/
BMCC,RC_MATH_QUANT,MAT 150.5,"Introduction to Statistics with Algebra (same as MAT 150)",4,https://www.bmcc.cuny.edu/academics/pathways/mathematical-and-quantitative-reasoning/
BMCC,RC_MATH_QUANT,MAT 156,"College Algebra",3,https://www.bmcc.cuny.edu/academics/pathways/mathematical-and-quantitative-reasoning/
BMCC,RC_MATH_QUANT,MAT 156.5,"Elementary and College Algebra",3,https://www.bmcc.cuny.edu/academics/pathways/mathematical-and-quantitative-reasoning/
BMCC,RC_MATH_QUANT,MAT 160,"Quantitative Reasoning",4,https://www.bmcc.cuny.edu/academics/pathways/mathematical-and-quantitative-reasoning/
BMCC,RC_MATH_QUANT,MAT 161,"Topics in Quantitative Reasoning",3,https://www.bmcc.cuny.edu/academics/pathways/mathematical-and-quantitative-reasoning/
BMCC,RC_MATH_QUANT,MAT 161.5,"Mathematics Literacy and Quantitative Reasoning",3,https://www.bmcc.cuny.edu/academics/pathways/mathematical-and-quantitative-reasoning/
BMCC,RC_MATH_QUANT,MAT 200,"Introduction to Discrete Mathematics",4,https://www.bmcc.cuny.edu/academics/pathways/mathematical-and-quantitative-reasoning/
BMCC,RC_MATH_QUANT,MAT 206,"Precalculus",4,https://www.bmcc.cuny.edu/academics/pathways/mathematical-and-quantitative-reasoning/
BMCC,RC_MATH_QUANT,MAT 206.5,"Intermediate Algebra and Precalculus (Same as MAT 206)",4,https://www.bmcc.cuny.edu/academics/pathways/mathematical-and-quantitative-reasoning/
BMCC,RC_MATH_QUANT,MAT 209,"Statistics",4,https://www.bmcc.cuny.edu/academics/pathways/mathematical-and-quantitative-reasoning/
