institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
BMCC,Social Sciences and Human Services,SSH,PHI_AA,Philosophy,AA,2025-2026,Required Common Core,common_core,12,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/philosophy/
BMCC,Social Sciences and Human Services,SSH,PHI_AA,Philosophy,AA,2025-2026,Required Common Core,common_core,12,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/philosophy/
BMCC,Social Sciences and Human Services,SSH,PHI_AA,Philosophy,AA,2025-2026,Required Common Core,common_core,12,10,PHI-AA-MATH,Mathematical and Quantitative Reasoning,3,,,RC_MATH_QUANT,https://www.bmcc.cuny.edu/academics/departments/social-sciences/philosophy/
BMCC,Social Sciences and Human Services,SSH,PHI_AA,Philosophy,AA,2025-2026,Required Common Core,common_core,12,10,PHI-AA-LPS,Life and Physical Sciences,3,,,RC_LIFE_PHYSICAL,https://www.bmcc.cuny.edu/academics/departments/social-sciences/philosophy/
BMCC,Social Sciences and Human Services,SSH,PHI_AA,Philosophy,AA,2025-2026,Flexible Core,flexible_core,18,20,PHI-AA-CREATIVE,Creative Expression (two courses),6,,,FC_CREATIVE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/philosophy/
BMCC,Social Sciences and Human Services,SSH,PHI_AA,Philosophy,AA,2025-2026,Flexible Core,flexible_core,18,20,PHI-AA-INDIVIDUAL,Individual and Society,3,,,FC_INDIVIDUAL,https://www.bmcc.cuny.edu/academics/departments/social-sciences/philosophy/
BMCC,Social Sciences and Human Services,SSH,PHI_AA,Philosophy,AA,2025-2026,Flexible Core,flexible_core,18,20,PHI-AA-SCIENTIFIC,Scientific World,3,,,FC_SCIENTIFIC_WORLD,https://www.bmcc.cuny.edu/academics/departments/social-sciences/philosophy/
BMCC,Social Sciences and Human Services,SSH,PHI_AA,Philosophy,AA,2025-2026,Flexible Core,flexible_core,18,20,PHI-AA-US,U.S. Experience in Its Diversity,3,,,FC_US_EXPERIENCE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/philosophy/
BMCC,Social Sciences and Human Services,SSH,PHI_AA,Philosophy,AA,2025-2026,Flexible Core,flexible_core,18,20,PHI-AA-WORLD,World Cultures and Global Issues,3,,,FC_WORLD_CULTURES,https://www.bmcc.cuny.edu/academics/departments/social-sciences/philosophy/
BMCC,Social Sciences and Human Services,SSH,PHI_AA,Philosophy,AA,2025-2026,Curriculum Requirements,program_required,6,30,PHI 100,Philosophy,3,,PHI 105,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/philosophy/
BMCC,Social Sciences and Human Services,SSH,PHI_AA,Philosophy,AA,2025-2026,Curriculum Requirements,program_required,6,30,PHI 105,World Philosophy,3,,PHI 100,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/philosophy/
BMCC,Social Sciences and Human Services,SSH,PHI_AA,Philosophy,AA,2025-2026,Curriculum Requirements,program_required,6,30,PHI-AA-LOGIC,PHI 110 Logic or any CRT course,3,,,PHI_AA_LOGIC_CRT,https://www.bmcc.cuny.edu/academics/departments/social-sciences/philosophy/
BMCC,Social Sciences and Human Services,SSH,PHI_AA,Philosophy,AA,2025-2026,Philosophy Electives,program_required,12,40,PHI-AA-100,One additional 100-level PHI course,3,,,PHI_AA_100_LEVEL,https://www.bmcc.cuny.edu/academics/departments/social-sciences/philosophy/
BMCC,Social Sciences and Human Services,SSH,PHI_AA,Philosophy,AA,2025-2026,Philosophy Electives,program_required,12,40,PHI-AA-200,Two 200-level PHI courses,6,,,PHI_AA_200_LEVEL,https://www.bmcc.cuny.edu/academics/departments/social-sciences/philosophy/
BMCC,Social Sciences and Human Services,SSH,PHI_AA,Philosophy,AA,2025-2026,Philosophy Electives,program_required,12,40,PHI-AA-SOCIAL,Social Science elective,3,,,PHI_AA_SOCIAL_SCIENCE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/philosophy/
BMCC,Social Sciences and Human Services,SSH,PHI_AA,Philosophy,AA,2025-2026,General Electives,program_elective,12,50,PHI-AA-GENERAL,General Electives,12,,,BMCC_GENERAL_ELECTIVE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/philosophy/
