institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source,completion_options,required_course_sets,required_course_set_count,prerequisite_groups
BMCC,Business Management,BUS,PNA_AS,Public and Nonprofit Administration,AS,2025-2026,Required Common Core,common_core,12,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/business-management/public-and-nonprofit-administration/,,,,
BMCC,Business Management,BUS,PNA_AS,Public and Nonprofit Administration,AS,2025-2026,Required Common Core,common_core,12,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/business-management/public-and-nonprofit-administration/,,,,
BMCC,Business Management,BUS,PNA_AS,Public and Nonprofit Administration,AS,2025-2026,Required Common Core,common_core,12,10,PNA-AS-MATH,Mathematical and Quantitative Reasoning requirement,3,,,PNA_AS_MATH_QUANT,https://www.bmcc.cuny.edu/academics/departments/business-management/public-and-nonprofit-administration/,,,,
BMCC,Business Management,BUS,PNA_AS,Public and Nonprofit Administration,AS,2025-2026,Required Common Core,common_core,12,10,PNA-AS-LPS,Life and Physical Sciences requirement,3,,,RC_LIFE_PHYSICAL,https://www.bmcc.cuny.edu/academics/departments/business-management/public-and-nonprofit-administration/,,,,
BMCC,Business Management,BUS,PNA_AS,Public and Nonprofit Administration,AS,2025-2026,Flexible Core,flexible_core,18,20,SPE 100,Fundamentals of Public Speaking,3,,SPE 102,,https://www.bmcc.cuny.edu/academics/departments/business-management/public-and-nonprofit-administration/,,,,
BMCC,Business Management,BUS,PNA_AS,Public and Nonprofit Administration,AS,2025-2026,Flexible Core,flexible_core,18,20,SPE 102,Fundamentals of Public Speaking for Non-Native Speakers,3,,SPE 100,,https://www.bmcc.cuny.edu/academics/departments/business-management/public-and-nonprofit-administration/,,,,
BMCC,Business Management,BUS,PNA_AS,Public and Nonprofit Administration,AS,2025-2026,Flexible Core,flexible_core,18,20,ECO 201,Macroeconomics,3,,,,https://www.bmcc.cuny.edu/academics/departments/business-management/public-and-nonprofit-administration/,,,,
BMCC,Business Management,BUS,PNA_AS,Public and Nonprofit Administration,AS,2025-2026,Flexible Core,flexible_core,18,20,PNA-AS-SCIENTIFIC,Scientific World requirement,3,,,FC_SCIENTIFIC_WORLD,https://www.bmcc.cuny.edu/academics/departments/business-management/public-and-nonprofit-administration/,,,,
BMCC,Business Management,BUS,PNA_AS,Public and Nonprofit Administration,AS,2025-2026,Flexible Core,flexible_core,18,20,PNA-AS-WORLD,World Cultures and Global Issues requirement,3,,,FC_WORLD_CULTURES,https://www.bmcc.cuny.edu/academics/departments/business-management/public-and-nonprofit-administration/,,,,
BMCC,Business Management,BUS,PNA_AS,Public and Nonprofit Administration,AS,2025-2026,Flexible Core,flexible_core,18,20,PNA-AS-INDIVIDUAL,Individual and Society requirement,3,,,FC_INDIVIDUAL,https://www.bmcc.cuny.edu/academics/departments/business-management/public-and-nonprofit-administration/,,,,
BMCC,Business Management,BUS,PNA_AS,Public and Nonprofit Administration,AS,2025-2026,Flexible Core,flexible_core,18,20,PNA-AS-CREATIVE2,Creative Expression requirement (second course),3,,,PNA_AS_CREATIVE,https://www.bmcc.cuny.edu/academics/departments/business-management/public-and-nonprofit-administration/,,,,
BMCC,Business Management,BUS,PNA_AS,Public and Nonprofit Administration,AS,2025-2026,Curriculum Requirements,program_required,15,30,BUS 104,Introduction to Business,3,,,,https://www.bmcc.cuny.edu/academics/departments/business-management/public-and-nonprofit-administration/,,,,
BMCC,Business Management,BUS,PNA_AS,Public and Nonprofit Administration,AS,2025-2026,Curriculum Requirements,program_required,15,30,BUS 110,Business Law,3,,,,https://www.bmcc.cuny.edu/academics/departments/business-management/public-and-nonprofit-administration/,,,,
BMCC,Business Management,BUS,PNA_AS,Public and Nonprofit Administration,AS,2025-2026,Curriculum Requirements,program_required,15,30,CIS 100,Introduction to Computer Applications,3,,,,https://www.bmcc.cuny.edu/academics/departments/business-management/public-and-nonprofit-administration/,,,,
BMCC,Business Management,BUS,PNA_AS,Public and Nonprofit Administration,AS,2025-2026,Curriculum Requirements,program_required,15,30,PAN 100,Introduction to Public Affairs and Administration,3,,,,https://www.bmcc.cuny.edu/academics/departments/business-management/public-and-nonprofit-administration/,,,,
BMCC,Business Management,BUS,PNA_AS,Public and Nonprofit Administration,AS,2025-2026,Curriculum Requirements,program_required,15,30,PAN 230,Policy Development and Analysis,3,PAN 100,,,https://www.bmcc.cuny.edu/academics/departments/business-management/public-and-nonprofit-administration/,,,,
BMCC,Business Management,BUS,PNA_AS,Public and Nonprofit Administration,AS,2025-2026,Program Electives,program_elective,9,40,PNA-AS-PROGRAM-ELECTIVES,Choose three approved program electives,9,,,PNA_AS_PROGRAM_ELECTIVES,https://www.bmcc.cuny.edu/academics/departments/business-management/public-and-nonprofit-administration/,,,,
BMCC,Business Management,BUS,PNA_AS,Public and Nonprofit Administration,AS,2025-2026,General Electives,program_elective,6,41,PNA-AS-GENERAL,General Electives or Common Core STEM excess credits,6,,,PNA_AS_GENERAL_ELECTIVE,https://www.bmcc.cuny.edu/academics/departments/business-management/public-and-nonprofit-administration/,,,,
