institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
BMCC,Social Sciences and Human Services,SSH,POL_AA,Political Science,AA,2025-2026,Required Common Core,common_core,12,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/political-science/
BMCC,Social Sciences and Human Services,SSH,POL_AA,Political Science,AA,2025-2026,Required Common Core,common_core,12,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/political-science/
BMCC,Social Sciences and Human Services,SSH,POL_AA,Political Science,AA,2025-2026,Required Common Core,common_core,12,10,POL-AA-MATH,Mathematical and Quantitative Reasoning,3,,,RC_MATH_QUANT,https://www.bmcc.cuny.edu/academics/departments/social-sciences/political-science/
BMCC,Social Sciences and Human Services,SSH,POL_AA,Political Science,AA,2025-2026,Required Common Core,common_core,12,10,POL-AA-LPS,Life and Physical Sciences,3,,,RC_LIFE_PHYSICAL,https://www.bmcc.cuny.edu/academics/departments/social-sciences/political-science/
BMCC,Social Sciences and Human Services,SSH,POL_AA,Political Science,AA,2025-2026,Flexible Core,flexible_core,18,20,POL-AA-CREATIVE,Creative Expression,3,,,FC_CREATIVE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/political-science/
BMCC,Social Sciences and Human Services,SSH,POL_AA,Political Science,AA,2025-2026,Flexible Core,flexible_core,18,20,POL-AA-INDIVIDUAL,Individual and Society,3,,,FC_INDIVIDUAL,https://www.bmcc.cuny.edu/academics/departments/social-sciences/political-science/
BMCC,Social Sciences and Human Services,SSH,POL_AA,Political Science,AA,2025-2026,Flexible Core,flexible_core,18,20,POL-AA-SCIENTIFIC,Scientific World,3,,,FC_SCIENTIFIC_WORLD,https://www.bmcc.cuny.edu/academics/departments/social-sciences/political-science/
BMCC,Social Sciences and Human Services,SSH,POL_AA,Political Science,AA,2025-2026,Flexible Core,flexible_core,18,20,POL-AA-US,U.S. Experience in Its Diversity,3,,,FC_US_EXPERIENCE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/political-science/
BMCC,Social Sciences and Human Services,SSH,POL_AA,Political Science,AA,2025-2026,Flexible Core,flexible_core,18,20,POL-AA-WORLD,World Cultures and Global Issues (two courses),6,,,FC_WORLD_CULTURES,https://www.bmcc.cuny.edu/academics/departments/social-sciences/political-science/
BMCC,Social Sciences and Human Services,SSH,POL_AA,Political Science,AA,2025-2026,Curriculum Requirements,program_required,3,30,POL 100,American Government,3,,POL 110,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/political-science/
BMCC,Social Sciences and Human Services,SSH,POL_AA,Political Science,AA,2025-2026,Curriculum Requirements,program_required,3,30,POL 110,Introduction to Politics,3,,POL 100,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/political-science/
BMCC,Social Sciences and Human Services,SSH,POL_AA,Political Science,AA,2025-2026,Political Science Electives,program_required,12,40,POL-AA-ANY,Two 100- or 200-level POL courses not used above,6,,,POL_AA_100_200,https://www.bmcc.cuny.edu/academics/departments/social-sciences/political-science/
BMCC,Social Sciences and Human Services,SSH,POL_AA,Political Science,AA,2025-2026,Political Science Electives,program_required,12,40,POL-AA-200,Two 200-level POL courses not used above,6,,,POL_AA_200_LEVEL,https://www.bmcc.cuny.edu/academics/departments/social-sciences/political-science/
BMCC,Social Sciences and Human Services,SSH,POL_AA,Political Science,AA,2025-2026,Social Science Electives,program_elective,6,45,POL-AA-SOCIAL,Social Science electives,6,,,POL_AA_SOCIAL_SCIENCE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/political-science/
BMCC,Social Sciences and Human Services,SSH,POL_AA,Political Science,AA,2025-2026,Liberal Arts Electives,program_elective,9,50,POL-AA-LIBERAL,Liberal Arts elective courses,9,,,BMCC_LIBERAL_ARTS_ELECTIVE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/political-science/
