institution_code,department_code,program_code,program_name,degree_type,catalog_year
BMCC,ACC,ACCT_AAS,Accounting,AAS,2026
BMCC,BUS,BUSM_AAS,Business Management,AAS,2026
BMCC,CIS,CIS,Computer Information Systems,AAS,2026
BMCC,CIS,CNT,Computer Network Technology,AAS,2026
BMCC,AHS,HIT_AAS,Health Information Technology,AAS,2026
BMCC,NUR,NUR_AAS,Nursing,AAS,2026
BMCC,AHS,PAR_AAS,Paramedic,AAS,2026
BMCC,AHS,RTH_AAS,Respiratory Therapy,AAS,2026
BMCC,ART,AFH_AA,Art Foundations: Art History,AA,2026
BMCC,ALL,BCE_AA,Bilingual Childhood Education,AA,2026
BMCC,ALL,CHED_AA,Childhood Education,AA,2026
BMCC,SSH,CYS_AA,Children and Youth Studies,AA,2026
BMCC,SCT,COM_AA,Communication Studies,AA,2026
BMCC,CRJ,CRJ_AA,Criminal Justice,AA,2026
BMCC,SSH,CTJ_AA,Critical Thinking and Justice,AA,2026
BMCC,SSH,ECO_AA,Economics,AA,2026
BMCC,ERS,ETH_AA,Ethnic Studies,AA,2026
BMCC,ERS,GWS_AA,Gender and Women’s Studies,AA,2026
BMCC,SSH,HIS_AA,History,AA,2026
BMCC,ENG,LA_AA,Liberal Arts,AA,2026
BMCC,ALL,LIN_AA,Linguistics,AA,2026
BMCC,ALL,LITST_AA,Literacy Studies,AA,2026
BMCC,ALL,FRN_AA,Modern Languages: French,AA,2026
BMCC,ALL,ITA_AA,Modern Languages: Italian,AA,2026
BMCC,ALL,SPA_AA,Modern Languages: Spanish,AA,2026
BMCC,ALL,STI_AA,Modern Languages: Spanish Translation and Interpretation,AA,2026
BMCC,SSH,PHI_AA,Philosophy,AA,2026
BMCC,SSH,POL_AA,Political Science,AA,2026
BMCC,SSH,PSY_AA,Psychology,AA,2026
BMCC,SSH,SESS_AA,Secondary Education for Social Studies,AA,2026
BMCC,SSH,SOC_AA,Sociology,AA,2026
BMCC,SSH,URB_AA,Urban Studies,AA,2026
BMCC,ENG,WAL_AA,Writing and Literature,AA,2026
BMCC,ACC,FAA_AS,Accounting for Forensic Accounting,AS,2026
BMCC,MMA,AMG_AS,Animation and Motion Graphics,AS,2026
BMCC,ART,AFS_AS,Art Foundations: Studio Art,AS,2026
BMCC,SCI,BTE_AS,Biotechnology Science,AS,2026
BMCC,BUS,BBA_AS,Business Administration,AS,2026
BMCC,SSH,ECE_AS,Child Care/Early Childhood Education,AS,2026
BMCC,HED,CHE_AS,Community Health Education,AS,2026
BMCC,CIS,CS,Computer Science,AS,2026
BMCC,CIS,DS_AS,Data Science,AS,2026
BMCC,BUS,DMK_AS,Digital Marketing,AS,2026
BMCC,SCI,ESC_AS,Engineering Science,AS,2026
BMCC,BUS,ENT_AS,Entrepreneurship and Innovation,AS,2026
BMCC,BUS,FMG_AS,Financial Management,AS,2026
BMCC,SSH,GIS_AS,Geographic Information Science (GIS),AS,2026
BMCC,SSH,GER_AS,Gerontology,AS,2026
BMCC,SSH,HMS_AS,Human Services,AS,2026
BMCC,MAT,MAT_AS,Mathematics,AS,2026
BMCC,MAT,MSSE_AS,Mathematics and Sciences for Secondary Education,AS,2026
BMCC,MMA,MMP_AS,Multimedia Programming and Design,AS,2026
BMCC,ART,MUS_AS,Music,AS,2026
BMCC,BUS,PNA_AS,Public and Nonprofit Administration,AS,2026
BMCC,HED,PH_AS,Public Health,AS,2026
BMCC,HED,SHE_AS,School Health Education,AS,2026
BMCC,SCI,SCI_AS,Science,AS,2026
BMCC,SCI,FSC_AS,Science for Forensics,AS,2026
BMCC,SCI,SHP_AS,Science for Health,AS,2026
BMCC,SCT,THR_AS,Theatre,AS,2026
BMCC,MMA,VAT_AS,Video Arts and Technology,AS,2026
BMCC,ACC,ACC_CERT,Accounting Certificate,CERT,2026
BMCC,CIS,CYB_CERT,Cybersecurity Certificate,CERT,2026
BMCC,AHS,HI_CERT,Health Informatics Certificate,CERT,2026
BMCC,NUR,PN_CERT,Practical Nursing Certificate,CERT,2026
BMCC,ALL,STH_CERT,"Spanish Translation for the Health, Legal and Business Professions Certificate",CERT,2026
BMCC,CIS,CYB_MICRO,Cybersecurity,MICRO,2026
