institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Required Common Core,common_core,12,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Required Common Core,common_core,12,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Required Common Core,common_core,12,10,PSY-STEM-MATH,Mathematical and Quantitative Reasoning - Psychology STEM options,4,,,PSY_STEM_MATH_QUANT,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Required Common Core,common_core,12,10,PSY-STEM-LPS,Life and Physical Sciences - Psychology STEM,4,,,PSY_STEM_LIFE_PHYSICAL,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Flexible Core,flexible_core,18,20,PSY-STEM-CREATIVE,Creative Expression - Psychology STEM,3,,,PSY_STEM_CREATIVE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Flexible Core,flexible_core,18,20,PSY-STEM-INDIVIDUAL,Individual and Society - Psychology STEM,3,,,PSY_STEM_INDIVIDUAL,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Flexible Core,flexible_core,18,20,PSY 100,Introduction to Psychology,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Flexible Core,flexible_core,18,20,BIO 220,Biology II,4,BIO 210,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Flexible Core,flexible_core,18,20,FC-US-EXP,U.S. Experience in Its Diversity requirement,3,,,FC_US_EXPERIENCE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Flexible Core,flexible_core,18,20,FC-WORLD-CULTURES,World Cultures and Global Issues requirement,3,,,FC_WORLD_CULTURES,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Concentration Requirements,program_required,21,30,MAT 301,Analytic Geometry and Calculus I,4,MAT 206 or MAT 206.5,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Concentration Requirements,program_required,21,30,PSY 220,Behavioral Statistics,4,PSY 100|MAT 150 or MAT 150.5 or MAT 206,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Concentration Requirements,program_required,21,30,PSY 225,Brain and Behavior,3,PSY 100,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Concentration Requirements,program_required,21,30,PSY 255,Cognitive Psychology,3,PSY 100,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Concentration Requirements,program_required,21,30,PSY 265,Research in Psychology,4,PSY 100,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Concentration Requirements,program_required,21,30,PSY-STEM-GENERAL,General Elective satisfied by Common and Flexible Core STEM excess credits,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Psychology Electives,program_elective,9,40,PSY 200,Social Psychology,3,PSY 100,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Psychology Electives,program_elective,9,40,PSY 210,Psychology of Death and Dying,3,PSY 100,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Psychology Electives,program_elective,9,40,PSY 230,Psychology of Personality,3,PSY 100,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Psychology Electives,program_elective,9,40,PSY 240,Developmental Psychology,3,PSY 100,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Psychology Electives,program_elective,9,40,PSY 245,Psychology of Women,3,PSY 100,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Psychology Electives,program_elective,9,40,PSY 250,Child Psychology,3,PSY 100,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Psychology Electives,program_elective,9,40,PSY 260,Abnormal Psychology,3,PSY 100,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Psychology Electives,program_elective,9,40,PSY 271,Foundations of Black Psychology,3,PSY 100,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Psychology Electives,program_elective,9,40,PSY 280,Cultural Psychology,3,PSY 100,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Psychology Electives,program_elective,9,40,PSY 290,Industrial-Organizational Psychology,3,PSY 100,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
BMCC,Social Sciences and Human Services,SSH,PSY_STEM_AA,Psychology - STEM Concentration,AA,2025-2026,Psychology Electives,program_elective,9,40,PSY 295,Special Topics in Psychology,3,PSY 100,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/psychology/
