institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
BMCC,Science,SCI,SHP_AS,Science for Health,AS,2025-2026,Required Common Core,common_core,12,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Science,SCI,SHP_AS,Science for Health,AS,2025-2026,Required Common Core,common_core,12,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Science,SCI,SHP_AS,Science for Health,AS,2025-2026,Required Common Core,common_core,12,10,SHP-AS-MATH,Mathematical and Quantitative Reasoning - Science for Health,4,,,SHP_AS_MATH_QUANT,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Science,SCI,SHP_AS,Science for Health,AS,2025-2026,Required Common Core,common_core,12,10,SHP-AS-LPS,Life and Physical Sciences - Science for Health,4,,,SHP_AS_LIFE_PHYSICAL,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Science,SCI,SHP_AS,Science for Health,AS,2025-2026,Flexible Core,flexible_core,18,20,SPE 100,Fundamentals of Public Speaking,3,,SPE 102,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Science,SCI,SHP_AS,Science for Health,AS,2025-2026,Flexible Core,flexible_core,18,20,SPE 102,Fundamentals of Public Speaking for Non-Native Speakers,3,,SPE 100,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Science,SCI,SHP_AS,Science for Health,AS,2025-2026,Flexible Core,flexible_core,18,20,FC-INDIVIDUAL,Individual and Society Requirement,3,,,FC_INDIVIDUAL,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Science,SCI,SHP_AS,Science for Health,AS,2025-2026,Flexible Core,flexible_core,18,20,BIO 425,Anatomy and Physiology I,4,CHE 121,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Science,SCI,SHP_AS,Science for Health,AS,2025-2026,Flexible Core,flexible_core,18,20,BIO 426,Anatomy and Physiology II,4,BIO 425,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Science,SCI,SHP_AS,Science for Health,AS,2025-2026,Flexible Core,flexible_core,18,20,FC-US-EXP,U.S. Experience in Its Diversity Requirement,3,,,FC_US_EXPERIENCE,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Science,SCI,SHP_AS,Science for Health,AS,2025-2026,Flexible Core,flexible_core,18,20,FC-WORLD-CULTURES,World Cultures and Global Issues Requirement,3,,,FC_WORLD_CULTURES,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Science,SCI,SHP_AS,Science for Health,AS,2025-2026,Program Requirements,program_required,4,30,CHE 122,"Fundamentals of General, Organic and Biological Chemistry II",4,CHE 121,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Science,SCI,SHP_AS,Science for Health,AS,2025-2026,Curriculum Electives,program_elective,11,40,BIO 420,Microbiology,4,BIO 426|CHE 121,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Science,SCI,SHP_AS,Science for Health,AS,2025-2026,Curriculum Electives,program_elective,11,40,CHE 125,Fundamentals of Biochemistry,4,CHE 122,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Science,SCI,SHP_AS,Science for Health,AS,2025-2026,Curriculum Electives,program_elective,11,40,HED 235,Nutrition for Health,3,,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Science,SCI,SHP_AS,Science for Health,AS,2025-2026,Curriculum Electives,program_elective,11,40,PHY 110,General Physics,4,,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Science,SCI,SHP_AS,Science for Health,AS,2025-2026,Curriculum Electives,program_elective,11,40,SCI 150,Nutrition,3,,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Science,SCI,SHP_AS,Science for Health,AS,2025-2026,Curriculum Electives,program_elective,11,40,SCI 151,The Science of Food,3,CHE 121,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Science,SCI,SHP_AS,Science for Health,AS,2025-2026,Curriculum Electives,program_elective,11,40,SCI 510,Pathophysiology,3,BIO 426|CHE 121,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Science,SCI,SHP_AS,Science for Health,AS,2025-2026,Curriculum Electives,program_elective,11,40,SCI 530,Pharmacology,3,BIO 426|CHE 121,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
BMCC,Science,SCI,SHP_AS,Science for Health,AS,2025-2026,General Electives,program_elective,15,50,SHP-AS-GENERAL,General Electives or Common Core STEM excess credits,15,,,,https://www.bmcc.cuny.edu/academics/departments/science/science-for-health-professions/
