institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
BMCC,Social Sciences and Human Services,SSH,URB_AA,Urban Studies,AA,2025-2026,Required Common Core,common_core,12,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/urban-studies/
BMCC,Social Sciences and Human Services,SSH,URB_AA,Urban Studies,AA,2025-2026,Required Common Core,common_core,12,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/urban-studies/
BMCC,Social Sciences and Human Services,SSH,URB_AA,Urban Studies,AA,2025-2026,Required Common Core,common_core,12,10,URB-AA-MATH,Mathematical and Quantitative Reasoning,3,,,RC_MATH_QUANT,https://www.bmcc.cuny.edu/academics/departments/social-sciences/urban-studies/
BMCC,Social Sciences and Human Services,SSH,URB_AA,Urban Studies,AA,2025-2026,Required Common Core,common_core,12,10,URB-AA-LPS,Life and Physical Sciences,3,,,RC_LIFE_PHYSICAL,https://www.bmcc.cuny.edu/academics/departments/social-sciences/urban-studies/
BMCC,Social Sciences and Human Services,SSH,URB_AA,Urban Studies,AA,2025-2026,Flexible Core,flexible_core,18,20,URB-AA-CREATIVE,Creative Expression (two courses),6,,,FC_CREATIVE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/urban-studies/
BMCC,Social Sciences and Human Services,SSH,URB_AA,Urban Studies,AA,2025-2026,Flexible Core,flexible_core,18,20,URB-AA-INDIVIDUAL,Individual and Society,3,,,FC_INDIVIDUAL,https://www.bmcc.cuny.edu/academics/departments/social-sciences/urban-studies/
BMCC,Social Sciences and Human Services,SSH,URB_AA,Urban Studies,AA,2025-2026,Flexible Core,flexible_core,18,20,URB-AA-SCIENTIFIC,Scientific World,3,,,FC_SCIENTIFIC_WORLD,https://www.bmcc.cuny.edu/academics/departments/social-sciences/urban-studies/
BMCC,Social Sciences and Human Services,SSH,URB_AA,Urban Studies,AA,2025-2026,Flexible Core,flexible_core,18,20,URB-AA-US,U.S. Experience in Its Diversity,3,,,FC_US_EXPERIENCE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/urban-studies/
BMCC,Social Sciences and Human Services,SSH,URB_AA,Urban Studies,AA,2025-2026,Flexible Core,flexible_core,18,20,URB-AA-WORLD,World Cultures and Global Issues,3,,,FC_WORLD_CULTURES,https://www.bmcc.cuny.edu/academics/departments/social-sciences/urban-studies/
BMCC,Social Sciences and Human Services,SSH,URB_AA,Urban Studies,AA,2025-2026,Curriculum Requirements,program_required,9,30,SOC 100,Introduction to Sociology,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/urban-studies/
BMCC,Social Sciences and Human Services,SSH,URB_AA,Urban Studies,AA,2025-2026,Curriculum Requirements,program_required,9,30,URB 100,Introduction to Urban Studies,3,,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/urban-studies/
BMCC,Social Sciences and Human Services,SSH,URB_AA,Urban Studies,AA,2025-2026,Curriculum Requirements,program_required,9,30,URB 300,Special Topics in Urban Studies,3,URB 100,,,https://www.bmcc.cuny.edu/academics/departments/social-sciences/urban-studies/
BMCC,Social Sciences and Human Services,SSH,URB_AA,Urban Studies,AA,2025-2026,Urban Studies Electives,program_required,6,40,URB-AA-ELECTIVES,Choose two approved Urban Studies electives,6,,,URB_AA_ELECTIVES,https://www.bmcc.cuny.edu/academics/departments/social-sciences/urban-studies/
BMCC,Social Sciences and Human Services,SSH,URB_AA,Urban Studies,AA,2025-2026,Social Science Electives,program_elective,9,45,URB-AA-SOCIAL,Choose three Social Science electives,9,,,URB_AA_SOCIAL_SCIENCE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/urban-studies/
BMCC,Social Sciences and Human Services,SSH,URB_AA,Urban Studies,AA,2025-2026,General Electives,program_elective,6,50,URB-AA-GENERAL,General Electives,6,,,BMCC_GENERAL_ELECTIVE,https://www.bmcc.cuny.edu/academics/departments/social-sciences/urban-studies/
