institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,Required Common Core,common_core,12,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/video-arts-and-technology/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,Required Common Core,common_core,12,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/video-arts-and-technology/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,Required Common Core,common_core,12,10,MAT 160,Quantitative Reasoning,4,,,,https://www.bmcc.cuny.edu/academics/departments/math/mathematics-program/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,Required Common Core,common_core,12,10,PHY 110,General Physics,4,,PHY 400,,https://www.bmcc.cuny.edu/academics/departments/science/science-program/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,Flexible Core,flexible_core,6,20,SPE 100,Fundamentals of Public Speaking,3,,SPE 102,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/video-arts-and-technology/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,Flexible Core,flexible_core,6,20,SPE 102,Fundamentals of Public Speaking for Non-Native Speakers,3,,SPE 100,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/video-arts-and-technology/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,Flexible Core,flexible_core,6,20,VAT-AS-USEXP,U.S. Experience in Its Diversity requirement,3,,,FC_US_EXPERIENCE,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/video-arts-and-technology/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,Program Requirements,program_required,18,30,MES 153,Script Writing,3,,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,Program Requirements,program_required,18,30,VAT 100,Introduction to Video Technology,3,,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,Program Requirements,program_required,18,30,MES 152,Introduction to Contemporary Media,3,,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,Program Requirements,program_required,18,30,MMP 100,Introduction to Multimedia,3,,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,Program Requirements,program_required,18,30,MES 140,Introduction to the Moving Image,3,,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,Program Requirements,program_required,18,30,COM 240,Interpersonal Communication,3,SPE 100,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,VAT Production Courses,program_elective,12,40,VAT 161,TV Studio Production I,3,VAT 100|MES 153,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,VAT Production Courses,program_elective,12,40,VAT 165,Sound for Performance/Digital Media I,3,VAT 100|MES 153,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,VAT Production Courses,program_elective,12,40,VAT 171,Remote Production/Video Editing I,3,VAT 100|MES 153,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,VAT Production Courses,program_elective,12,40,VAT 261,TV Studio Production II,3,VAT 161,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,VAT Production Courses,program_elective,12,40,VAT 265,Sound for Performance/Digital Media II,3,VAT 165|MMP 100,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,VAT Production Courses,program_elective,12,40,VAT 271,Remote Production/Video Editing II,3,VAT 171,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,VAT Advised Elective,program_elective,3,50,ANI 401,Introduction to 3D Animation,3,MMP 100 or MMA 100,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,VAT Advised Elective,program_elective,3,50,BUS 200,Business Organization and Management,3,,,,https://www.bmcc.cuny.edu/academics/departments/business-management/course-listings/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,VAT Advised Elective,program_elective,3,50,MEA 211,Introduction to Digital Fabrication and Physical Computing,3,MMA 100|MMP 100,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,VAT Advised Elective,program_elective,3,50,MEA 300,Topics in Media Arts and Technology,3,,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,VAT Advised Elective,program_elective,3,50,MMA 100,Foundations of Digital Graphic Design,3,,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,VAT Advised Elective,program_elective,3,50,MMP 270,Introduction to Video Game Design,3,MMP 100,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,VAT Program Elective,program_elective,3,60,VAT 301,Introduction to Video Graphics,3,,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,VAT Program Elective,program_elective,3,60,ANI 301,Introduction to Motion Graphics and Visual Effects,3,VAT 161 or VAT 171 or MMA 100 or MMP 100,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,VAT Program Elective,program_elective,3,60,VAT 302,Lighting for Television,3,VAT 161 or VAT 171,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,Media Arts and Technology,MMA,VAT_AS,Video Arts and Technology,AS,2025-2026,VAT Program Elective,program_elective,3,60,VAT 303,Cinematography,3,VAT 161 or VAT 171,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
